Wolof,ajami
Man ak Baay bi benn lanu.»,مان اك بااي بي بەنن لانو.»
"Yawut ya daldi foraat ay xeer, bëgg","ياووت يا دالدي فوراات اي خەەر, بێگگ"
"koo sànni, ngir rey ko.","كوو سانني, ڠير رەي كو."
Noonu Yeesu ne leen: «Def naa ci,نوونو يەەسو نە لەەن: «دەف ناا چي
seen kanam jëf yu baax yu bare,سەەن كانام جێف يو بااخ يو بارە
ci ndigalu Baay bi. Ban ci jëf,چي نديگالو بااي بي. بان چي جێف
yooyu moo tax ba ngeen bëgg maa sànni ay doj?»,يوويو موو تاخ با ڠەەن بێگگ ماا سانني اي دوج?»
Yawut ya ne ko: «Jëf ju baax,ياووت يا نە كو: «جێف جو بااخ
"taxul nu bëgg laa sànniy xeer, waaye","تاخول نو بێگگ لاا ساننيي خەەر, واايە"
"dangay suufeel turu Yàlla; yaw, nit rekk","داڠاي سووفەەل تورو ياللا; ياو, نيت رەكك"
"nga, ba noppi di def sa bopp Yàlla!»","ڠا, با نوپپي دي دەف سا بوپپ ياللا!»"
Yeesu tontu ne: «Bind nañu ci seen,يەەسو تونتو نە: «بيند ناڽو چي سەەن
téereb yoon ne: “Yàlla nee na: Ay yàlla ngeen.”,تێەرەب يوون نە: “ياللا نەە نا: اي ياللا ڠەەن.”
Yàlla wooye na “ay yàlla” ñi mu,ياللا ووويە نا “اي ياللا” ڽي مو
"yónnee kàddoom, te xam nanu ne, kenn","يۆننەە كاددووم, تە خام نانو نە, كەنن"
mënul a randal waxi Yàlla.,مێنول ا راندال واخي ياللا.
"Kon nu ngeen man a waxe ne,","كون نو ڠەەن مان ا واخە نە,"
damay suufeel turu Yàlla ndax li ma,داماي سووفەەل تورو ياللا نداخ لي ما
"ne Doomam laa, man mi Yàlla tànn, yónni ma ci àddina?","نە دوومام لاا, مان مي ياللا تانن, يۆنني ما چي اددينا?"
"Su ma deful sama jëfi Baay, buleen ma gëm;","سو ما دەفول ساما جێفي بااي, بولەەن ما گێم;"
"waaye su ma ko defee, bu ngeen","واايە سو ما كو دەفەە, بو ڠەەن"
"ma gëmul sax, gëmleen boog samay jëf,","ما گێمول ساخ, گێملەەن بووگ ساماي جێف,"
"ngir ngeen xam te nangu ne, maa","ڠير ڠەەن خام تە ناڠو نە, ماا"
ngi nekk ci Baay bi te Baay,ڠي نەكك چي بااي بي تە بااي
bi nekk na ci man.»,بي نەكك نا چي مان.»
"Ñu di ko wut a jàppaat, waaye","ڽو دي كو ووت ا جاپپاات, واايە"
"mu bàyyi leen fa, dem.","مو باييي لەەن فا, دەم."
"Yeesu génn, jàllaat dexu Yurdan, toog fa","يەەسو گێنن, جاللاات دەخو يوردان, تووگ فا"
Yaxya daan sóobe ci ndox bu jëkk.,ياخيا داان سۆوبە چي ندوخ بو جێكك.
"Nit ñu bare ñëw ci moom, te","نيت ڽو بارە ڽێو چي مووم, تە"
"naan: «Yaxya deful benn kéemaan, waaye li","ناان: «ياخيا دەفول بەنن كێەماان, واايە لي"
"mu wax ci kii yépp, dëgg la.»","مو واخ چي كيي يێپپ, دێگگ لا.»"
Noonu ñu bare gëm ko.,نوونو ڽو بارە گێم كو.
"Amoon na benn waay bu woppoon, ñu","اموون نا بەنن وااي بو ووپپوون, ڽو"
"koy wax Lasaar. Ma nga dëkkoon Betani,","كوي واخ لاساار. ما ڠا دێككوون بەتاني,"
"moom ak Maryaama ak Màrt, mi mu bokkaloon ndey ak baay.","مووم اك ماريااما اك مارت, مي مو بوككالوون ندەي اك بااي."
Maryaama mooy jigéen jiy sottiji latkoloñ ci,ماريااما مووي جيگێەن جيي سوتتيجي لاتكولوڽ چي
"tànki Boroom bi, fompe ko kawaram. Moom la càmmiñam Lasaar woppoon.","تانكي بورووم بي, فومپە كو كاوارام. مووم لا چامميڽام لاساار ووپپوون."
Ñaari jigéeni Lasaar yónnee ca Yeesu ne,ڽااري جيگێەني لاساار يۆننەە چا يەەسو نە
"ko: «Boroom bi, sa xarit wopp na.»","كو: «بورووم بي, سا خاريت ووپپ نا.»"
"Bi Yeesu déggee xebaar boobu, mu ne:","بي يەەسو دێگگەە خەباار بووبو, مو نە:"
"«Lasaar de, woppam jooju du ko mujje;","«لاساار دە, ووپپام جووجو دو كو موججە;"
"day wone ndamu Yàlla, tey màggal Doomu Yàlla ji.»","داي وونە ندامو ياللا, تەي ماگگال دوومو ياللا جي.»"
Yeesu soppoon na Màrt ak Maryaama ak Lasaar.,يەەسو سوپپوون نا مارت اك ماريااما اك لاساار.
"Bi mu yégee nag ne, Lasaar wopp","بي مو يێگەە ناگ نە, لاساار ووپپ"
"na, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.","نا, مو تووگاات يەنەەن ڽااري فان چا بێراب, با مو نەككوون."
Gannaaw loolu mu ne taalibe ya: «Nanu dellu Yude.»,گاننااو لوولو مو نە تااليبە يا: «نانو دەللو يودە.»
"Taalibe ya tontu ko ne: «Kilifa gi,","تااليبە يا تونتو كو نە: «كيليفا گي,"
yàggul dara waa Yude doon nañu la,ياگگول دارا واا يودە دوون ناڽو لا
"wut a rey ak i xeer, nga di fa dellu?»","ووت ا رەي اك ي خەەر, ڠا دي فا دەللو?»"
Yeesu ne leen: «Xanaa du bëccëg fukki,يەەسو نە لەەن: «خاناا دو بێچچێگ فوككي
"waxtook ñaar la? Kuy dox bëccëg, du","واختووك ڽاار لا? كوي دوخ بێچچێگ, دو"
"fakkastalu, ndaxte day gis leeru àddina si.","فاككاستالو, نداختە داي گيس لەەرو اددينا سي."
"Waaye kuy dox guddi, dina fakkastalu, ndaxte leer nekkul ci moom.»","واايە كوي دوخ گوددي, دينا فاككاستالو, نداختە لەەر نەككول چي مووم.»"
"Yeesu wax loolu, teg ca ne: «Sunu","يەەسو واخ لوولو, تەگ چا نە: «سونو"
"xarit Lasaar nelaw na, waaye maa ngi dem yee ko.»","خاريت لاساار نەلاو نا, واايە ماا ڠي دەم يەە كو.»"
"Taalibe ya tontu ne: «Boroom bi, bu","تااليبە يا تونتو نە: «بورووم بي, بو"
"nelawee kay, kon dina wér.»","نەلاوەە كاي, كون دينا وێر.»"
"Yeesu dafa bëggoon a wax ne, Lasaar","يەەسو دافا بێگگوون ا واخ نە, لاساار"
"dee na, waaye taalibe yi dañoo xalaatoon","دەە نا, واايە تااليبە يي داڽوو خالااتوون"
"ne, mbiri nelaw rekk lay wax.","نە, مبيري نەلاو رەكك لاي واخ."
Ci kaw loolu Yeesu wax ci lu,چي كاو لوولو يەەسو واخ چي لو
leer ne: «Lasaar dee na.,لەەر نە: «لاساار دەە نا.
Bég naa ngir yéen ndax li ma,بێگ ناا ڠير يێەن نداخ لي ما
"fa nekkul, ngir seen ngëm gën a","فا نەككول, ڠير سەەن ڠێم گێن ا"
dëgër. Waaye nanu ko seeti.»,دێگێر. واايە نانو كو سەەتي.»
"Noonu Tomaa, ki turam di tekki «Séex","نوونو توماا, كي تورام دي تەككي «سێەخ"
"bi,» daldi ne yeneen taalibe ya: «Nanu","بي,» دالدي نە يەنەەن تااليبە يا: «نانو"
"dem nun itam, deeyandoo ak moom!»","دەم نون يتام, دەەياندوو اك مووم!»"
"Bi Yeesu agsee, mu fekk ne, bi","بي يەەسو اگسەە, مو فەكك نە, بي"
"ñu dencee Lasaar ak léegi, mat na ñeenti fan.","ڽو دەنچەە لاساار اك لێەگي, مات نا ڽەەنتي فان."
"Betani ma nga woon ca wetu Yerusalem,","بەتاني ما ڠا ووون چا وەتو يەروسالەم,"
diggante bi matul woon sax ñetti kilomet.,ديگگانتە بي ماتول ووون ساخ ڽەتتي كيلومەت.
Yawut yu bare ñëwoon nañu kër Màrt,ياووت يو بارە ڽێووون ناڽو كێر مارت
"ak Maryaama, ngir dëfël leen ci seen deewu càmmiñ.","اك ماريااما, ڠير دێفێل لەەن چي سەەن دەەوو چامميڽ."
"Bi Yeesu ñëwee, Màrt yég ko, dem","بي يەەسو ڽێوەە, مارت يێگ كو, دەم"
di dajeek moom; fekk booba Maryaamaa nga toogoon ca kër ga.,دي داجەەك مووم; فەكك بووبا ماريااماا ڠا تووگوون چا كێر گا.
"Màrt ne Yeesu: «Boroom bi, boo fi","مارت نە يەەسو: «بورووم بي, بوو في"
"nekkoon de, sama càmmiñ li du dee.","نەككوون دە, ساما چامميڽ لي دو دەە."
"Waaye xam naa ne, fii nu tollu","واايە خام ناا نە, فيي نو توللو"
"sax, loo ñaan Yàlla, mu may la ko.»","ساخ, لوو ڽاان ياللا, مو ماي لا كو.»"
Yeesu ne ko: «Sa càmmiñ dina dekki.»,يەەسو نە كو: «سا چامميڽ دينا دەككي.»
"Màrt tontu ko ne: «Xam naa ne,","مارت تونتو كو نە: «خام ناا نە,"
"dina jóg bésu ndekkite la, keroog bés bu mujj ba.»","دينا جۆگ بێسو ندەككيتە لا, كەرووگ بێس بو موجج با.»"
"Yeesu ne ko: «Man maay ndekkite li,","يەەسو نە كو: «مان مااي ندەككيتە لي,"
"maay dund gi. Ku ma gëm, boo deeyee it, dinga dund.","مااي دوند گي. كو ما گێم, بوو دەەيەە يت, ديڠا دوند."
"Rax-ca-dolli kuy dund te gëm ma, doo","راخ-چا-دوللي كوي دوند تە گێم ما, دوو"
dee mukk. Ndax gëm nga loolu?»,دەە موكك. نداخ گێم ڠا لوولو?»
Mu tontu ko ne: «Waaw Boroom bi.,مو تونتو كو نە: «وااو بورووم بي.
"Gëm naa ne, yaay Almasi bi, di","گێم ناا نە, يااي الماسي بي, دي"
"Doomu Yàlla, ji war a ñëw àddina.»","دوومو ياللا, جي وار ا ڽێو اددينا.»"
"Bi Màrt waxee loolu, mu daldi dem","بي مارت واخەە لوولو, مو دالدي دەم"
woowi Maryaama ne ko ci pett: «Kilifa,ووووي ماريااما نە كو چي پەتت: «كيليفا
gaa ngi fi; mi ngi lay laaj.»,گاا ڠي في; مي ڠي لاي لااج.»
"Bi Maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca Yeesu.","بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو."
"Te fekk duggagul woon ca dëkk ba,","تە فەكك دوگگاگول ووون چا دێكك با,"
waaye ma nga woon ba tey ca,واايە ما ڠا ووون با تەي چا
"bérab, ba mu daje woon ak Màrt.","بێراب, با مو داجە ووون اك مارت."
"Noonu Yawut, ya nekkoon ca kër ga","نوونو ياووت, يا نەككوون چا كێر گا"
"di dëfël Maryaama, gis ko mu ne","دي دێفێل ماريااما, گيس كو مو نە"
"bërét génn, ñu daldi koy topp, defe","بێرێت گێنن, ڽو دالدي كوي توپپ, دەفە"
"ne, day jooyi ca bàmmeel ba.","نە, داي جوويي چا باممەەل با."
"Bi Maryaama agsee nag ca Yeesu, ba","بي ماريااما اگسەە ناگ چا يەەسو, با"
"gis ko, mu daanu ciy tànkam ne","گيس كو, مو داانو چيي تانكام نە"
"ko: «Boroom bi, boo fi nekkoon, sama càmmiñ du dee.»","كو: «بورووم بي, بوو في نەككوون, ساما چامميڽ دو دەە.»"
"Yeesu gis ne, mi ngi jooy te","يەەسو گيس نە, مي ڠي جووي تە"
Yawut yi ànd ak moom itam ñu,ياووت يي اند اك مووم يتام ڽو
"ngi jooy. Mu daldi jàq, am naqar wu réy.","ڠي جووي. مو دالدي جاق, ام ناقار وو رێي."
Mu ne leen: «Fu ngeen ko denc?»,مو نە لەەن: «فو ڠەەن كو دەنچ?»
"Ñu tontu ko ne: «Kaay gis, Sang bi.»","ڽو تونتو كو نە: «كااي گيس, ساڠ بي.»"
Yeesu jooy.,يەەسو جووي.
"Noonu nag, Yawut ya ne: «Gis ngeen","نوونو ناگ, ياووت يا نە: «گيس ڠەەن"
ni mu ko bëgge woon!»,ني مو كو بێگگە ووون!»
Waaye am na ca ñoom ñu doon,واايە ام نا چا ڽووم ڽو دوون
wax naan: «Moom mi ubbi bëti gumba,واخ ناان: «مووم مي وببي بێتي گومبا
"gi, ndax mënul woon a fexe ba Lasaar du dee?»","گي, نداخ مێنول ووون ا فەخە با لاساار دو دەە?»"
"Yeesu dellu am naqar wu réy, daldi","يەەسو دەللو ام ناقار وو رێي, دالدي"
dem ca bàmmeel ba. Pax la mu,دەم چا باممەەل با. پاخ لا مو
"ñu yett ci doj, ube ko xeer.","ڽو يەتت چي دوج, وبە كو خەەر."
"Yeesu ne: «Dindileen xeer wi!» Màrt, jigéenu","يەەسو نە: «دينديلەەن خەەر وي!» مارت, جيگێەنو"
"ku dee ki ne ko: «Boroom bi,","كو دەە كي نە كو: «بورووم بي,"
"dina xasaw xunn fii mu nekk, ndaxte","دينا خاساو خونن فيي مو نەكك, نداختە"
am na ci bàmmeel bi ñeenti fan.»,ام نا چي باممەەل بي ڽەەنتي فان.»
"Yeesu ne ko: «Ndax waxuma la ne,","يەەسو نە كو: «نداخ واخوما لا نە,"
"boo gëmee, dinga gis ndamu Yàlla?»","بوو گێمەە, ديڠا گيس ندامو ياللا?»"
Ñu daldi dindi xeer wa. Yeesu xool,ڽو دالدي ديندي خەەر وا. يەەسو خوول
"ci kaw, ne jàkk asamaan, ñaan Yàlla","چي كاو, نە جاكك اساماان, ڽاان ياللا"
"ne: «Baay, sant naa la ci li","نە: «بااي, سانت ناا لا چي لي"
nga ma déglu ba noppi.,ڠا ما دێگلو با نوپپي.
"Xam naa ne, doo jóg ci di","خام ناا نە, دوو جۆگ چي دي"
"ma déglu, waaye dama koy wax, ngir","ما دێگلو, واايە داما كوي واخ, ڠير"
"nit ñi ma wër gëm ne, yaa ma yónni.»","نيت ڽي ما وێر گێم نە, ياا ما يۆنني.»"
"Bi mu waxee loolu, Yeesu woote ak","بي مو واخەە لوولو, يەەسو وووتە اك"
"baat bu dëgër ne: «Lasaar, ñëwal ci biti!»","باات بو دێگێر نە: «لاساار, ڽێوال چي بيتي!»"
"Néew bi daldi génn, ñu gis càngaay,","نێەو بي دالدي گێنن, ڽو گيس چاڠااي,"
li ñu takke woon tànk yi ak,لي ڽو تاككە ووون تانك يي اك
"loxo yi, ak kaala, gi ñu muure","لوخو يي, اك كاالا, گي ڽو موورە"
woon kanam gi. Yeesu ne leen: «Tekkileen,ووون كانام گي. يەەسو نە لەەن: «تەككيلەەن
"ko, bàyyi ko mu dem.»","كو, باييي كو مو دەم.»"
Yawut yu bare ca ña ñëwoon kër,ياووت يو بارە چا ڽا ڽێووون كێر
"Maryaama te gis li Yeesu defoon, daldi koy gëm.","ماريااما تە گيس لي يەەسو دەفوون, دالدي كوي گێم."
Waaye amoon na it ñu demoon ci,واايە اموون نا يت ڽو دەموون چي
"Farisen ya, nettali leen la Yeesu defoon.","فاريسەن يا, نەتتالي لەەن لا يەەسو دەفوون."
Farisen ya ak saraxalekat yu mag ya,فاريسەن يا اك ساراخالەكات يو ماگ يا
woo kureelu àttekat ya ne: «Nit kii,ووو كورەەلو اتتەكات يا نە: «نيت كيي
"kat, kéemaan yi muy def a ngi","كات, كێەماان يي موي دەف ا ڠي"
bëgg a bare. Lu nuy def nag?,بێگگ ا بارە. لو نوي دەف ناگ?
Ndaxte su nu ko bàyyee mu jàppoo,نداختە سو نو كو باييەە مو جاپپوو
"nii, ñépp dinañu ko gëm, te kilifay","نيي, ڽێپپ ديناڽو كو گێم, تە كيليفاي"
"Room yi dinañu ñëw, daaneel sunu kër","رووم يي ديناڽو ڽێو, داانەەل سونو كێر"
"Yàlla gi, tas sunu réew!»","ياللا گي, تاس سونو رێەو!»"
Amoon na ca ñoom ku ñuy wax,اموون نا چا ڽووم كو ڽوي واخ
Kayif te mu nekkoon saraxalekat bu mag,كاييف تە مو نەككوون ساراخالەكات بو ماگ
ba at mooma; mu ne leen: «Xamuleen ci mbir mi dara.,با ات مووما; مو نە لەەن: «خامولەەن چي مبير مي دارا.
"Xanaa xamuleen ne, kenn nit rekk dee","خاناا خامولەەن نە, كەنن نيت رەكك دەە"
"ngir ñépp, mooy li gën ci yéen?","ڠير ڽێپپ, مووي لي گێن چي يێەن?"
Bu ko defee réew mi du tas.»,بو كو دەفەە رێەو مي دو تاس.»
"Loolu Kayif waxu ko woon ci sagoom,","لوولو كاييف واخو كو ووون چي ساگووم,"
waaye li mu nekkoon saraxalekat bu mag,واايە لي مو نەككوون ساراخالەكات بو ماگ
"ba at mooma, moo tax Yàlla xiirtal","با ات مووما, موو تاخ ياللا خييرتال"
"ko mu ne, Yeesu dina dee ngir réew mi.","كو مو نە, يەەسو دينا دەە ڠير رێەو مي."
"Du woon rekk ngir xeet woowu, waaye","دو ووون رەكك ڠير خەەت ووووو, واايە"
"ngir itam doomi Yàlla, yi tasaaroo yépp, dajaloo nekk benn.","ڠير يتام دوومي ياللا, يي تاسااروو يێپپ, داجالوو نەكك بەنن."
Keroog la njiiti Yawut ya dogu ci rey Yeesu.,كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.
Taxoon na ba Yeesu dootul doxantu ci,تاخوون نا با يەەسو دووتول دوخانتو چي
biir Yawut ya. Noonu mu dem ca,بيير ياووت يا. نوونو مو دەم چا
"gox bu jege màndiŋ ma, ca dëkku","گوخ بو جەگە مانديŋ ما, چا دێككو"
Efrayim. Foofa nag la toog ak ay taalibeem.,ەفراييم. فووفا ناگ لا تووگ اك اي تااليبەەم.
"Bésu Jéggi ba, di màggalu Yawut ya,","بێسو جێگگي با, دي ماگگالو ياووت يا,"
"mu ngi doon jubsi, ba ñu bare","مو ڠي دوون جوبسي, با ڽو بارە"
ca waa àll ba di dem Yerusalem,چا واا الل با دي دەم يەروسالەم
"balaa booba, ngir sanguji set.","بالاا بووبا, ڠير ساڠوجي سەت."
Ñu ngi doon wut Yeesu tey waxante,ڽو ڠي دوون ووت يەەسو تەي واخانتە
ca kër Yàlla ga naan: «Lu ngeen,چا كێر ياللا گا ناان: «لو ڠەەن
ci xam? Ndax dina ñëw ci màggal gi walla déet?»,چي خام? نداخ دينا ڽێو چي ماگگال گي واللا دێەت?»
Saraxalekat yu mag ya ak Farisen ya,ساراخالەكات يو ماگ يا اك فاريسەن يا
"daldi santaane ne, bu kenn xamee fu","دالدي سانتاانە نە, بو كەنن خامەە فو"
"Yeesu nekk, mu yégle ko, ngir ñu man koo jàpp.","يەەسو نەكك, مو يێگلە كو, ڠير ڽو مان كوو جاپپ."
Juróom benni fan laata màggalu bésub Jéggi,جورۆوم بەنني فان لااتا ماگگالو بێسوب جێگگي
"ba, Yeesu dem na Betani, dëkku Lasaar, mi mu dekkal.","با, يەەسو دەم نا بەتاني, دێككو لاساار, مي مو دەككال."
Foofa ñu defaral ko fa reer. Màrt,فووفا ڽو دەفارال كو فا رەەر. مارت
"moo ko doon séddale, te Lasaar bokkoon na ca gan ña.","موو كو دوون سێددالە, تە لاساار بوككوون نا چا گان ڽا."
Noonu Maryaama daldi jël liibaru latkoloñ ju,نوونو ماريااما دالدي جێل لييبارو لاتكولوڽ جو
"raxul ju ñuy wax nàrd, tey jar","راخول جو ڽوي واخ نارد, تەي جار"
lu baree-bare. Mu sotti ko ci tànki,لو بارەە-بارە. مو سوتتي كو چي تانكي
"Yeesu, ba noppi fomp ko ak kawaram.","يەەسو, با نوپپي فومپ كو اك كاوارام."
Xetu latkoloñ gi gilli ci kër gi yépp.,خەتو لاتكولوڽ گي گيللي چي كێر گي يێپپ.
"Kenn ca taalibey Yeesu ya, muy Yudaa","كەنن چا تااليبەي يەەسو يا, موي يوداا"
"Iskariyo, mi ko nar a wor, daldi ne:","يسكارييو, مي كو نار ا وور, دالدي نە:"
«Lu tax jaayewuñu latkoloñ jii peyu atum,«لو تاخ جاايەووڽو لاتكولوڽ جيي پەيو اتوم
"lëmm, jox ko miskin yi?»","لێمم, جوخ كو ميسكين يي?»"
"Waaye bi muy wax loolu, xalaatul woon","واايە بي موي واخ لوولو, خالااتول ووون"
"miskin yi, ndaxte sàcc la woon; moo","ميسكين يي, نداختە ساچچ لا ووون; موو"
"yoroon boyetu xaalis bi, te daan ci sàkk.","يوروون بويەتو خااليس بي, تە داان چي ساكك."
Waaye Yeesu ne ko: «Bàyyi ko! Jekkoon,واايە يەەسو نە كو: «باييي كو! جەككوون
na mu denc ko ngir bés bu ñu may suul.,نا مو دەنچ كو ڠير بێس بو ڽو ماي سوول.
"nekk, waaye dungeen ma gis ba fàww.»","نەكك, واايە دوڠەەن ما گيس با فاوو.»"
"Bi ñu yégee ne, Yeesoo nga fa,","بي ڽو يێگەە نە, يەەسوو ڠا فا,"
mbooloom Yawut mu bare daldi dem Betani.,مبوولووم ياووت مو بارە دالدي دەم بەتاني.
"Yeesu rekk yóbbuwu leen fa woon, waaye","يەەسو رەكك يۆببووو لەەن فا ووون, واايە"
"dañoo bëggoon a gisaale Lasaar, mi Yeesu dekkaloon.","داڽوو بێگگوون ا گيساالە لاساار, مي يەەسو دەككالوون."
"Saraxalekat yu mag ya dogu ci ne, dañuy reyaale Lasaar,","ساراخالەكات يو ماگ يا دوگو چي نە, داڽوي رەياالە لاساار,"
"ndaxte moo waral Yawut yu bare dëddu leen, gëm Yeesu.","نداختە موو وارال ياووت يو بارە دێددو لەەن, گێم يەەسو."
"Ca ëllëg sa mbooloo mu bare, ma","چا ێللێگ سا مبوولوو مو بارە, ما"
"ñëwoon ca màggalu bésub Jéggi ba, yég","ڽێووون چا ماگگالو بێسوب جێگگي با, يێگ"
ne Yeesoo ngi jëmsi Yerusalem.,نە يەەسوو ڠي جێمسي يەروسالەم.
"Ñu daldi jël cari garab, génn di","ڽو دالدي جێل چاري گاراب, گێنن دي"
ko teeru. Ñuy xaacu naan:«Osaana!Yaw miy ñëw,كو تەەرو. ڽوي خااچو ناان:«وساانا!ياو ميي ڽێو
"ci turu Boroom bi,ku barkeel nga!Na Yàlla barkeel buuru Israyil!»","چي تورو بورووم بي,كو باركەەل ڠا!نا ياللا باركەەل بوورو يسراييل!»"
"Yeesu wut cumbur, war ko; ndaxte Mbind mi nee na:","يەەسو ووت چومبور, وار كو; نداختە مبيند مي نەە نا:"
"«Buleen ragal, waa Siyon.Gis ngeen, seen buur","«بولەەن راگال, واا سييون.گيس ڠەەن, سەەن بوور"
"a ngi ñëw,war mbaam mu ndaw.»","ا ڠي ڽێو,وار مباام مو نداو.»"
"Yooyu yépp, taalibe ya xamuñu woon ca","يوويو يێپپ, تااليبە يا خاموڽو ووون چا"
saa sa lu muy tekki; waaye gannaaw,ساا سا لو موي تەككي; واايە گاننااو
"bi ndamu Yeesu feeñee, ñu fàttaliku ne,","بي ندامو يەەسو فەەڽەە, ڽو فاتتاليكو نە,"
Mbind mi yégle woon na loolu ci,مبيند مي يێگلە ووون نا لوولو چي
"moom, te amal nañu ko.","مووم, تە امال ناڽو كو."
"Ña nekkoon ak Yeesu ñépp, bi muy","ڽا نەككوون اك يەەسو ڽێپپ, بي موي"
wooyee Lasaar mu génn ca bàmmeel ba,ووويەە لاساار مو گێنن چا باممەەل با
"te mu dekkal ko, demoon nañu, nettali la ñu gis.","تە مو دەككال كو, دەموون ناڽو, نەتتالي لا ڽو گيس."
"Looloo tax mbooloo ma teeru ko, ndaxte yégoon nañu firnde boobu.","لوولوو تاخ مبوولوو ما تەەرو كو, نداختە يێگوون ناڽو فيرندە بووبو."
Farisen yi nag di waxante naan: «Gis,فاريسەن يي ناگ دي واخانتە ناان: «گيس
"ngeen, mënuleen ci dara; ñépp a ngi koy topp!»","ڠەەن, مێنولەەن چي دارا; ڽێپپ ا ڠي كوي توپپ!»"
"Ca mbooloo ma, amoon na ca ay","چا مبوولوو ما, اموون نا چا اي"
Gereg yu bokk ca ña ñëwoon Yerusalem,گەرەگ يو بوكك چا ڽا ڽێووون يەروسالەم
ngir jaamu Yàlla diirub màggal ga.,ڠير جاامو ياللا دييروب ماگگال گا.
"Ñëw nañu ci Filib, mi dëkk Betsayda","ڽێو ناڽو چي فيليب, مي دێكك بەتسايدا"
"ci diiwaanu Galile, ne ko: «Sang bi,","چي دييواانو گاليلە, نە كو: «ساڠ بي,"
danoo bëggoon a gis Yeesu.»,دانوو بێگگوون ا گيس يەەسو.»
"Filib dem wax ko Andare; ñu ànd, waxi ko Yeesu.","فيليب دەم واخ كو اندارە; ڽو اند, واخي كو يەەسو."
Mu tontu leen ne: «Waxtu wi ñu,مو تونتو لەەن نە: «واختو وي ڽو
war a feeñale ndamu Doomu nit ki jot na.,وار ا فەەڽالە ندامو دوومو نيت كي جوت نا.
fi ak peppu dugub ji wadd ci,في اك پەپپو دوگوب جي وادد چي
"suuf jaarul ci dee, du man a","سووف جاارول چي دەە, دو مان ا"
weesu li mu doon: pepp doŋŋ. Waaye,وەەسو لي مو دوون: پەپپ دوŋŋ. واايە
"bu deeyee, dina jur pepp yu bare.","بو دەەيەە, دينا جور پەپپ يو بارە."
"Ku bëgg bakkanam dina ko ñàkk, waaye","كو بێگگ باككانام دينا كو ڽاكك, واايە"
"ku ko bañ ci àddina sii, dina","كو كو باڽ چي اددينا سيي, دينا"
ko denc ngir dund gu dul jeex gi.,كو دەنچ ڠير دوند گو دول جەەخ گي.
"Ku bëgg a doon sama surga, na","كو بێگگ ا دوون ساما سورگا, نا"
"ma topp. Bu ko defee, fu ma","ما توپپ. بو كو دەفەە, فو ما"
"nekk, fa lay nekk moom itam. Ku","نەكك, فا لاي نەكك مووم يتام. كو"
"may liggéeyal, sama Baay dina ko teral.","ماي ليگگێەيال, ساما بااي دينا كو تەرال."
«Léegi nag damaa jàq. Lu may war,«لێەگي ناگ داماا جاق. لو ماي وار
"a wax? Mbaa du dama naan: “Baay,","ا واخ? مباا دو داما ناان: “بااي,"
musal ma ci li nar a xew,موسال ما چي لي نار ا خەو
"waxtu wiy ñëw?” Déedéet, ñëw naa sax","واختو ويي ڽێو?” دێەدێەت, ڽێو ناا ساخ"
ngir jaar ci waxtu woowu.,ڠير جاار چي واختو ووووو.
"Baay, màggalal sa tur!» Noonu ñu dégg","بااي, ماگگالال سا تور!» نوونو ڽو دێگگ"
baat bu jóge asamaan naan: «Màggal naa,باات بو جۆگە اساماان ناان: «ماگگال ناا
"ko ba noppi, te dinaa ko màggalaat.»","كو با نوپپي, تە ديناا كو ماگگالاات.»"
Mbooloo ma fa teewoon te dégg baat,مبوولوو ما فا تەەووون تە دێگگ باات
ba daldi ne: «Dënnu la woon!» Ñeneen,با دالدي نە: «دێننو لا ووون!» ڽەنەەن
naan: «Malaakaa doon wax ak moom.»,ناان: «مالااكاا دوون واخ اك مووم.»
"Waaye Yeesu ne leen: «Taxuma baat boobu jolli, waaye yéena tax.","واايە يەەسو نە لەەن: «تاخوما باات بووبو جوللي, واايە يێەنا تاخ."
Àtteb àddina si jot na: léegi ñu,اتتەب اددينا سي جوت نا: لێەگي ڽو
"dàq malaaka mu bon, mi jiite àddina si.","داق مالااكا مو بون, مي جييتە اددينا سي."
"Te man, bu ñu ma yékkatee, ma","تە مان, بو ڽو ما يێككاتەە, ما"
"tiim suuf, dinaa wootal nit ñépp ci man.»","تييم سووف, ديناا وووتال نيت ڽێپپ چي مان.»"
Ci baat yooyu la doon misaale ni mu war a faatoo.,چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.
Mbooloo ma tontu ko ne: «Jàng nanu,مبوولوو ما تونتو كو نە: «جاڠ نانو
"ci sunu téereb yoon ne, Almasi bi","چي سونو تێەرەب يوون نە, الماسي بي"
"dina sax ba fàww. Kon yaw, nan","دينا ساخ با فاوو. كون ياو, نان"
"nga man a waxe ne, “Doomu nit","ڠا مان ا واخە نە, “دوومو نيت"
ki dina yékkatiku?” Kuy Doomu nit kooku?»,كي دينا يێككاتيكو?” كوي دوومو نيت كووكو?»
Yeesu ne leen: «Leer gi dootul yàgg,يەەسو نە لەەن: «لەەر گي دووتول ياگگ
"ak yéen. Doxleen, ci bi ngeen dee","اك يێەن. دوخلەەن, چي بي ڠەەن دەە"
