attendu,predit,position,contexte_attendu,contexte_predit,Ajami,Wolof_attendu,Wolof_predit
i,y,48,ne miig.,ne miyg.,"دوگگە فيي, تە امولوو مبوببوم چێەت?” واا جي نە مييگ.","dugge fii, te amuloo mbubbum céet?” Waa ji ne miig.","dugge fii, te amuloo mbubbum céet?” waa ji ne miyg."
i,y,14,u ko indil ,u ko yoniid,دافا ام كو كو ينديل لەكك?»,dafa am ku ko indil lekk?»,dafa am ku ko yoniid lekk?»
i,y,11,a ak i taal,a ak yittaa,"جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول.","jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","jóge fa ak yittaalibeem, jall xoru Sedurun, dugg cib tool."
o,u,16,olu doy na ,olu duy na ,بااي بي; لوولو دوي نا نو.»,Baay bi; loolu doy na nu.»,baay bi; loolu duy na nu.»
o,u,4,nangoo laa,nanguu laa,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.
o,u,5,nangoo laal,nanguu laal,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.
o,u,8,oon boyetu ,oon buyetu ,"يوروون بويەتو خااليس بي, تە داان چي ساكك.","yoroon boyetu xaalis bi, te daan ci sàkk.","yoroon buyetu xaalis bi, te daan ci sàkk."
o,u,6,óoluwoo,óoluwu,وۆولوووو,wóoluwoo,wóoluwu
o,u,46, delloo., delluo.,"گارابو وليو گو كێر گي, ياللا دينا لەەن چي دەللوو.","garabu oliw gu kër gi, Yàlla dina leen ci delloo.","yarabu wliw gu kër gi, Yàlla dina leen ci delluo."
o,u,7,w Teyofil m,w teyufil m,"ياو تەيوفيل مو تەدد مي, خام ڠا","Yaw Teyofil mu tedd mi, xam nga","yaw teyufil mu tedd mi, xam nga"
o,u,7,"ggeekoo, ma","ggeekuo, ma","داگگەەكوو, مان دوما لا باييي موكك.»","dàggeekoo, man duma la bàyyi mukk.»","daggeekuo, man duma la bàyyi mukk.»"
o,u,1,doy,duy,دوي,doy,duy
y,i,8,"lifa yi, lu","ifa yi, lu ","«كيليفا يي, لو ما وار ا دەف, با موچچ?»","«Kilifa yi, lu ma war a def, ba mucc?»","yklifa yi, lu ma war a def, ba mucc?»"
o,u,26,ndi sobe,ndi sube,"چي كێر ياللا گي, با يندي سوبە","ci kër Yàlla gi, ba indi sobe","ci kër Yàlla gi, ba indi sube"
i,y,2,Lii mooy,liy mooy,"ليي مووي ڽاارەەلو فيرندە, بي يەەسو دەف","Lii mooy ñaareelu firnde, bi Yeesu def","liy mooy ñaareelu firnde, bi Yeesu def"
o,u,11,aat ko fi a,aat ku fi a,بايييواات كو في ات ميي. ديناا واقي,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi
i,y,21,at mii. Din,at miy. Din,بايييواات كو في ات ميي. ديناا واقي,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi
i,y,22,la yiir ci,la yiyr ci,اجي كاوە جي دينا لا ييير چي,Aji Kawe ji dina la yiir ci,Aji kawe ji dina la yiyr ci
u,o,1,fuytéef,Foytéef,فويتێەف,fuytéef,Foytéef
u,o,37,i doxub,i doxob,"ڽو دالدي سانني دييگال, ڠير واڽڽي دوخوب","ñu daldi sànni diigal, ngir wàññi doxub","Ñu daldi sànni diigal, ngir waññi doxob"
i,y,8,"n, kii góor","n, kiy góor","لەەن, كيي گۆور, كيي جيگێەن.","leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen."
i,y,18,"r, kii jigé","r, kiy jigé","لەەن, كيي گۆور, كيي جيگێەن.","leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen."
o,u,1,politig,pulitig,پوليتيگ,politig,pulitig
i,y,31,ay miir bu,ay miyr bu,"ياو مي ناافێق, باي ساماندااي ميير بو","yaw mi naaféq, bay samandaay miir bu","yaw mi naaféq, bay samandaay miyr bu"
o,u,8, na sonn lu, na sunn lu,"وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو.","war na sonn lu bare, ñu xeeb ko, dëddu ko.","war na sunn lu bare, ñu xeeb ko, dëddu ko."
o,u,34,osaanoo ca,osaanuo ca,گاننااو ياللا باالول چار يا چوساانوو چا,Gannaaw Yàlla baalul car ya cosaanoo ca,Gannaaw Yàlla baalul car ya cosaanuo ca
o,u,4,tuuboon,tuubuon,تووبوون,tuuboon,tuubuon
o,u,11,dee ko nii:,dee ku nii:,"مو سەەدەە كو نيي: “گيس ناا دااوودا,","mu seedee ko nii: “Gis naa Daawuda,","mu seedee ku nii: “Gis naa daawuda,"
u,o,2,Kou lekk,koo lekk,كوو لەكك چێب امنا وێرسێگ.,Kou lekk cëb amna wërsëg.,koo lekk cëb amna wërsëg.
o,u,11," yeewoo, da"," yeewu, dam","""بو ما يەەووو, داماي وێر.""","""Bu ma yeewoo, damay wér.""","""Bu ma yeewu, damay wér."""
u,o,21, mu muucu. , mu mooco. ,"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu"
u,o,22,mu muucu. M,mu mooco. M,"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu"
u,o,24, muucu. Mu, mooco. Mu,"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu"
o,u,24,may wor a n,may wur a n,"جۆگلەەن نو دەم; كي ماي وور ا ڠي نيي, دي ڽێو.»","Jógleen nu dem; ki may wor a ngi nii, di ñëw.»","jógleen nu dem; ki may wur a ngi nii, di ñëw.»"
o,u,6,"iir ko, dég","iir ku, dég","نيير كو, دێگگ بااتو بورووم بي نە كو:","niir ko, dégg baatu Boroom bi ne ko:","niir ku, dégg baatu boroom bi ne ko:"
o,u,13,m a ko wara,m a ku wara,"باككاارام ا كو وارال, واللا بو وااجورام?»","bàkkaaram a ko waral, walla bu waajuram?»","bàkkaaram a ku waral, walla bu waajuram?»"
u,o,18," yu wuute, "," yu woote, ","اك اي جاڠورو يو وووتە, تە داق","ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq"
u,o,19,"yu wuute, t","yu woote, t","اك اي جاڠورو يو وووتە, تە داق","ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq"
i,y,4,yéwwikoo,yéwuyoo,يێوويكوو,yéwwikoo,yéwuyoo
o,u,14,guwuñoo yiw,guwuñuoy Yi,نوونو ناڠوووڽوو ييوي ياسون اك ڽي چي,Noonu nanguwuñoo yiwi Yason ak ñi ci,Noonu nanguwuñuoy Yiwi Yasun ak ñi ci
o,u,1,doy ngi,duy ngi,دوي ڠير مبوولوو مو توللو نيي?»,doy ngir mbooloo mu tollu nii?»,duy ngir mbooloo mu tollu nii?»
o,u,6,amaakoonu,amaakuonu,خامااكوونو,xamaakoonu,xamaakuonu
