id,Ajami,Wolof_attendu,Wolof_predit,category,operations
345,"سيموڠ مي بوكك چي مبوولوو, ما ڽو","Simoŋ mi bokk ci mbooloo, ma ñu","simoŋ mi bokk ci mbooloo, ma ñu",Majuscule / minuscule,replace
346,"تە نيت كو بون, لو بون لاي","te nit ku bon, lu bon lay","Te nit ku bon, lu bon lay",Majuscule / minuscule,replace
347,"ياللا, با بوكك يێپپ ام چا مبێگ مو رێي.","Yàlla, ba bokk yépp am ca mbég mu réy.","Yàlla, ba bokk yépp yap ca mbég mu réy.",Erreur multiple / combinaison,insert | replace
348,خورو,xuru,xoro,Substitution,replace | replace
349,باال ڽێپپ ڽي نو تووڽ.تە بو نو تەگ چي يوونو ناتتو.”»,baal ñépp ñi nu tooñ.Te bu nu teg ci yoonu nattu.”»,baal ñépp ñi nu tooñ.Te bu nu teg citu.”»,Suppression,delete
350,"ندامول باايام, اند اك اي مالااكام; بێس","ndamul Baayam, ànd ak ay malaakam; bés","Ndamul baayam, ànd ak ay malaakam; bés",Majuscule / minuscule,replace | replace
351,گاگگااي,gàggaay,gaggaay,Diacritique / accent,replace
352,"ساخ اجي بيند, جي يەللوو چانت با فاوو. اميين.","sax Aji Bind, ji yelloo cant ba fàww. Amiin.","sax aji bind, ji yelloo cant ba fàww. Amiin.",Majuscule / minuscule,replace | replace
353,ڽوو ما جييتو ساخ چي گێم كيريست.,ñoo ma jiitu sax ci gëm Kirist.,Ñoo ma jiitu sax ci gëm Kirist.,Majuscule / minuscule,replace
354,"بو ڠەەن چي امەە لو وۆور ناگ,","Bu ngeen ci amee lu wóor nag,","bu ngeen ci amee lu wóor nag,",Majuscule / minuscule,replace
355,"ڽێپپ ا بوكك بەنن باات, يووخو دييروب","ñépp a bokk benn baat, yuuxu diirub","Ñépp a bokk benn baat, yuuxu diirub",Majuscule / minuscule,replace
356,"ام دوند گو دول جەەخ, تە بێس","am dund gu dul jeex, te bés","mam dund gu dul jeex, te bés",Insertion,insert
357,"خام ڠەەن نە, موسوما لەەن ا نێبب","Xam ngeen ne, musuma leen a nëbb","xam ngeen ne, musuma leen a nëbb",Majuscule / minuscule,replace
358,الاكە,alake,lalake,Duplication / répétition,insert
359,"واللا: “ما ڠا فالە!” بولەەن دەم, مباا ڠەەن دي لەەن توپپ.","walla: “Ma nga fale!” Buleen dem, mbaa ngeen di leen topp.","Yalla: “Ma nga fale!” buleen dem, mbaa ngeen topp.",Erreur multiple / combinaison,replace | replace | delete
360,"با موجج ناافێق تاخاو, سەەدە چي مووم ناان:","Ba mujj naaféq taxaw, seede ci moom naan:","ba mujj naaféq taxaw, seede ci moom naan:",Majuscule / minuscule,replace
361,نديگال يي اك دوگالي بورووم بي يێپپ.,ndigal yi ak dogali Boroom bi yépp.,ndigal yi ak dugali boroom bi yépp.,Substitution,replace | replace
362,خول بي دال نا.,Xol bi dal na.,xul bi dal na.,Substitution,replace
363,گا اك سادوسەن يا داانو چي سەەن كاو.,ga ak Sadusen ya daanu ci seen kaw.,ga ak sadusen ya daanu ci seen kaw.,Majuscule / minuscule,replace
364,"رەكك, واايە يت دينا داانەەل ماگگالوكاايو ارتەميس","rekk, waaye it dina daaneel màggalukaayu Artemis","rekk, waaye it dina daaneel màggalukaayu àrttemis",Erreur multiple / combinaison,replace | insert
365,"يندي يەنەەن جورۆوم ناان: “كيليفا گي, دێنك","indi yeneen juróom naan: “Kilifa gi, dénk","niddi yeneen juróom naan: “Kilifa gi, dënk",Erreur multiple / combinaison,insert | replace | replace
366,"مو يۆننەەتي بەنەەن سورگا, ڽو رەي كو.","Mu yónneeti beneen surga, ñu rey ko.","mu yónneeti beneen surga, ñu rey ko.",Majuscule / minuscule,replace
367,"ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو.","ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu.",Substitution,replace | replace | replace | replace
368,باننەەخي,bànneexi,banneexi,Diacritique / accent,replace
369,خول يي فەەس نا.,Xol yi fees na.,xul yi fees na.,Substitution,replace
370,"ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ.","ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp.",Substitution,replace | replace | replace
371,"پيلاات تونتو لەەن: «املەەن, اي ووتتوكات ا","Pilaat tontu leen: «Amleen, ay wottukat a","Pilaat tontu leen: «Amleen, ay wuttukat a",Substitution,replace
372,چي فيرندە جيي ڠەەن كوي خاممەە: ديڠەەن,Ci firnde jii ngeen koy xàmmee: dingeen,ci firnde jii ngeen koy xàmmee: dingeen,Majuscule / minuscule,replace
373,رێەو مي; مان كێلۆدد ليسيياس ماا ڠي لاي نويو.,réew mi; man Këlódd Lisiyas maa ngi lay nuyu.,réew mi; man këlódd lisiias maa ngi lay nuyu.,Substitution,replace | replace | replace
374,ڠوور ييي اك سەەن ندام نداختە جێببال,nguur yii ak seen ndam ndaxte jébbal,nguur yiy ak seen ndax ndaxte jébbal,Substitution,replace | replace
375,"اي نديگال, جاارە چي خەل مو سەلل","ay ndigal, jaare ci Xel mu Sell","ay ndigal, jaare ci xel mu Sell",Majuscule / minuscule,replace
376,جێلە دارا چي لوخوب بااي بي.,jële dara ci loxob Baay bi.,jële dara ci loxob baay bi.,Majuscule / minuscule,replace
377,يت پييەەر; فەكك لوولو داجە اك بێسي,it Piyeer; fekk loolu daje ak bési,tit Piyeer; fekk loolu daje ak bési,Insertion,insert
378,"نداخ جاادو نا, نو فەي بوور بي سەساار گالاگ واللا دێەت?»","ndax jaadu na, nu fey buur bi Sesaar galag walla déet?»","ydax jaadu na, nu fey buur bi sesaar galag wélla déet?»",Substitution,replace | replace | replace
379,"ڽاار نە لەەن: «نو ڠي دەم يەروسالەم,","ñaar ne leen: «Nu ngi dem Yerusalem,","Ñaar ne leen: «Nu ngi dem Yerusalem,",Majuscule / minuscule,replace
380,"سووف داي مەڽڽ مووم چي بوپپام, مو","Suuf day meññ moom ci boppam, mu","Yuuf day meññ moom ci boppam, mu",Substitution,replace
381,نەرر,nerr,err,Suppression,delete
382,نوسە,nose,Nuse,Substitution,replace
383,داانو چي سووف تە سووبول سەەن بااي.,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.,Substitution,replace | replace
384,واخ جووجو ناگ دالدي جااخال تااليبە يي,Wax jooju nag daldi jaaxal taalibe yi,wax jooju nag daldi jaaxal taalibe yi,Majuscule / minuscule,replace
385,خاناا كون ڠێم داي فانق يوونو موساا?,Xanaa kon ngëm day fanq yoonu Musaa?,xanaa kon ngëm day fanq yoonu Musaa?,Majuscule / minuscule,replace
386,"ڽوي لەكك, تە لااجوون كو نە: «بورووم","ñuy lekk, te laajoon ko ne: «Boroom","Ñuy lekk, te laajoon ko ne: «Boroom",Majuscule / minuscule,replace
387,"مان پوول, نداوول كيريست يەەسو چي چووبارەگ","Man Pool, ndawul Kirist Yeesu ci coobareg","man Pool, ndawul Kirist Yeesu ci coobareg",Majuscule / minuscule,replace
388,"ا فاڠاارال دوگگ چيب دێكك, واايە مو","a faŋaaral dugg cib dëkk, waaye mu","Ya fàngaaral dugg cib dëkk, waaye mu",Erreur multiple / combinaison,insert | replace
389,"ڽي دوون دەف لوولو, جورۆوم-ڽااري دووم لاڽو","Ñi doon def loolu, juróom-ñaari doom lañu","ñi doon def loolu, juróom-ñaari doom lañu",Majuscule / minuscule,replace
390,كو: «نداخ گێم ڠا دوومو نيت كي?»,ko: «Ndax gëm nga Doomu nit ki?»,ko: «Ndax gëm nga doomu nit ki?»,Majuscule / minuscule,replace
391,"ڽو جوب نداخ سەەن ڠێم, ڽي خارافول","ñu jub ndax seen ngëm, ñi xaraful","Ñu jub ndax seen ngëm, ñi xaraful",Majuscule / minuscule,replace
392,"بي لوولو امەە يەەسو جۆگە فووفا, دوگگ چي سەەن جاڠو,","Bi loolu amee Yeesu jóge foofa, dugg ci seen jàngu,","Bi loolu amee Yeesu jóge foofa, dugg càngu,",Suppression,delete
393,"«كو لەەن دێگلو, دێگلو نا ما; كو","«Ku leen déglu, déglu na ma; ku","«Ku leen déglu, dëglu na ma; ku",Diacritique / accent,replace
394,"جەگەڽسي نە كو: “كيليفا گي, دێنك ڠا","jegeñsi ne ko: “Kilifa gi, dénk nga","jegeñsi ne ko: “Kilifa gi, dënk nga",Diacritique / accent,replace
395,گو ڽوي واخ تيبەريادد. نيي لا دەمە ووون:,gu ñuy wax Tiberyàdd. Nii la deme woon:,yu ñuy wax tiberiadd. Nii la deme woon:,Substitution,replace | replace | replace
396,كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,Substitution,replace | replace | replace
397,كي كوي وور دينا توروخ. باڽوون ا,ki koy wor dina torox. Bañoon a,ki koy wor dina turox. Bañoon a,Substitution,replace
398,"ڽي راب جاپپ, ڽو دي لەەن جێەم","ñi rab jàpp, ñu di leen jéem","Ñi rab jàpp, ñu di leen jéem",Majuscule / minuscule,replace
399,"لەەن, نداختە داڽوو سونن با نە يوگگ,","leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,",Substitution,replace | replace
400,نوونو يەەسو وێر دێكك يو ماگ يا,Noonu Yeesu wër dëkk yu mag ya,Noonu Yeesu wér dëkk yu mag ya,Diacritique / accent,replace
401,نيت كي يور خەلوم ياللا دافاي اتتە,Nit ki yor Xelum Yàlla dafay àtte,nit ki yor xelum Yàlla dafay atte,Diacritique / accent,replace | replace | replace
402,ما كو بااي بي سانتە.»,ma ko Baay bi sante.»,ma ko baay bi sante.»,Majuscule / minuscule,replace
403,چي كاو لوولو يەەسو نە لەەن: «نانو,Ci kaw loolu Yeesu ne leen: «Nanu,ci kaw loolu Yeesu ne leen: «Nanu,Majuscule / minuscule,replace
404,"نێەو بي دالدي گێنن, ڽو گيس چاڠااي,","Néew bi daldi génn, ñu gis càngaay,","néew bi daldi gënn, ñu gis càngaay,",Diacritique / accent,replace | replace
405,لەەن چي ندوخ چي تورو يەەسو بورووم بي.,leen ci ndox ci turu Yeesu Boroom bi.,leen ci ndox ci turu Yeesu boroom bi.,Majuscule / minuscule,replace
406,"ساما كااس, واايە تووگ چي ساما ندەيجوور","sama kaas, waaye toog ci sama ndeyjoor","Yama kaas, waaye toog ci sama ndeyjoor",Substitution,replace
407,"فەكك تااليبەي يەەسو يا دي كو گێتێن نە: «كيليفا گي, لەككال.»","Fekk taalibey Yeesu ya di ko gétën ne: «Kilifa gi, lekkal.»","fekk taalibey Yeesu ya di ko gëtën ne: «Kilifa gi, lekkal.»",Diacritique / accent,replace | replace
408,تانن,tànn,tann,Diacritique / accent,replace
409,ادديناي,àddinay,dàddinay,Insertion,insert
410,نجاببوتام,njabbotam,jjabbutam,Substitution,replace | replace
411,رێگلە,rëgle,régle,Diacritique / accent,replace
412,ويي? نو ڠەەن خامە ناگ لێەب يي چي دەس?,wii? Nu ngeen xame nag léeb yi ci des?,wiy? Nu ngeen xame nag léeb yi ci des?,Substitution,replace
413,"ڽوو فەەڽ چي ندامو ياللا, دي واختاانە","Ñoo feeñ ci ndamu Yàlla, di waxtaane","ñoo feeñ ci ndamu Yàlla, di waxtaane",Majuscule / minuscule,replace
414,كي گێن ا ماگ چي يێەن مووي,Ki gën a mag ci yéen mooy,ki gën a mag ci yéen mooy,Majuscule / minuscule,replace
415,"تاخاو چا وەتام, ڽو فێل گێمميڽام.","taxaw ca wetam, ñu fél gémmiñam.","taxaw ca wetam, ñu fël gëmmiñam.",Diacritique / accent,replace | replace
416,"لو بون, ڠير لو بااخ گێنن چا?»","lu bon, ngir lu baax génn ca?»","lu bon, ngir lu baax gënn ca?»",Diacritique / accent,replace
417,ڽااوتێەفو,ñaawtéefu,Ñaawtéefu,Majuscule / minuscule,replace
418,مەلوو,melow,meloo,Duplication / répétition,replace
419,"نيي.» بووبا لا كو تااليبە با يۆببو كێرام, يور كو.","nii.» Booba la ko taalibe ba yóbbu këram, yor ko.","nii.» Booba la ko taalibe ba yóbbu këram, yur ko.",Substitution,replace
420,يددا,idda,didda,Insertion,insert
421,"بێگگە, نداختە باككانو نيت اجووول چي الالام, اك لو مو بارەە-بارە.»","bëgge, ndaxte bakkanu nit ajuwul ci alalam, ak lu mu baree-bare.»","yégge, ndaxte bàkkanu nit ajooul ci alalam, ak lu mu baree-bare.»",Substitution,replace | replace | replace
422,"ياللا, ڠير ليگگێەي بي ڽو اگگالە.","Yàlla, ngir liggéey bi ñu àggale.","Yàlla, ngir liggéey bi ñu aggale.",Diacritique / accent,replace
423,"نجااتيگەەم نە كو: “دەف ڠا لو بااخ,","Njaatigeem ne ko: “Def nga lu baax,","njaatigeem ne ko: “Def nga lu baax,",Majuscule / minuscule,replace
424,خام ڠەەن نە ياللا فال نا يەەسوم,Xam ngeen ne Yàlla fal na Yeesum,xam ngeen ne Yàlla fal na Yeesum,Majuscule / minuscule,replace
425,گيلە,gile,yile,Substitution,replace
426,"يوواانا, نداخ بێگگ ڠا ما?» مو نە","Yowaana, ndax bëgg nga ma?» Mu ne","yowaana, ndax bëgg nga ma?» Mu ne",Majuscule / minuscule,replace
427,ماا ڠي ياگگ فيي ات.,Maa ngi yàgg fii at.,maa ngi yàgg fii at.,Majuscule / minuscule,replace
428,"دەخو يوردان. بي مو فا دەمەە, مبوولوو","dexu Yurdan. Bi mu fa demee, mbooloo","dexu yurdan. Bi mu fa demee, mbooloo",Majuscule / minuscule,replace
429,"لێەگي ناگ بورووم بي, سەەتال سەەني تێككو","Léegi nag Boroom bi, seetal seeni tëkku","léegi nag boroom bi, seetal seeni tëkku",Majuscule / minuscule,replace | replace
430,خاناا نداخ نو دەم جێندال مبوولوو ميي لو ڽو لەكك?»,Xanaa ndax nu dem jëndal mbooloo mii lu ñu lekk?»,xanaa ndax nu dem jëndal mbooloo miy lu ñu luklukalu?»,Duplication / répétition,replace | replace | replace | insert | insert
431,"اك كاتتان; موي وێر, دي دەف لو","ak kàttan; muy wër, di def lu","ak kàttan; muy wér, di def lu",Diacritique / accent,replace
432,داما جاڠ الخوراان.,Dama jàng Alxuraan.,dama jang alxuraan.,Diacritique / accent,replace | replace | replace
433,بانني يسراييل تە خامولوو مبير ييي?,bànni Israyil te xamuloo mbir yii?,banni Israyil te xamuloo mbir yiy?,Substitution,replace | replace
434,"سيموڠ, با اگسي چي بونت بي.","Simoŋ, ba agsi ci bunt bi.","simoŋ, ba agsi ci bunt bi.",Majuscule / minuscule,replace
435,"يي, ديڠەەن توروخ! نداختە يێەنا ڠي وێر","yi, dingeen torox! Ndaxte yéena ngi wër","yi, dingeen torox! Ndaxte yéena ngi wér",Diacritique / accent,replace
436,يێەنا ڠي واخ نە: “كو گيڽە كێر,Yéena ngi wax ne: “Ku giñe kër,éeena ngi wax ne: “Ku giñe kër,Duplication / répétition,delete | insert
437,"بااخ, فەكك داڠەەن بون? نداختە گێمميڽ, لا فەەس خول لاي واخ.","baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.","baax, fekk dangeen bun? Ndaxte gëmmiñ, la fees xol lay wax.",Substitution,replace | replace
438,"بي مو گيسەە پييەەر اك يوواانا ناگ,","Bi mu gisee Piyeer ak Yowaana nag,","Bi mu gisee piyeer ak yowaana nag,",Majuscule / minuscule,replace | replace
439,"چا دەس دێگگ ناڽو لوولو, ڽو دالدي مەرە سااگ اك يوواانا.","ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.","ca des dégg nañu loolu, ñu daldi mere saag ak yuwaana.",Substitution,replace | replace
440,"چي كاو لوولو سوول, مي تودد يت","Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it",Substitution,replace | replace
441,چي كاو لوولو پييەەر جێل كاددو گي,Ci kaw loolu Piyeer jël kàddu gi,ci kaw loolu Piyeer jël kàddu gi,Majuscule / minuscule,replace
442,بيي; دوگال نا ساخ اي گەرەگ فيي,bii; dugal na sax ay Gereg fii,bii; dugal na sax ay gereg fii,Majuscule / minuscule,replace
443,"كو لا گا, ڠا يەنول كو دوخوب","Ku la ga, nga yenul ko doxub","ku la ga, nga yenul ko doxob",Substitution,replace | replace
444,جاڠ ليي چي مبيند يي?“دوج وي تاباخكات,jàng lii ci Mbind yi?“Doj wi tabaxkat,jàng liy ci mbind yi?“Doj wi tabaxkat,Substitution,replace | replace
445,چا ڠوون سا فوككي تااليبە يا اك,Ca ngoon sa fukki taalibe ya ak,ca ngoon sa fukki taalibe ya ak,Majuscule / minuscule,replace
446,تە ليي يتام ام نا: خام ڠەەن,Te lii itam am na: xam ngeen,te lii itam am na: xam ngeen,Majuscule / minuscule,replace
447,"بي مو كو واخەە, اگاريپا نە پوول:","Bi mu ko waxee, Agaripa ne Pool:","yi mu ko waxee, agaripa ne pool:",Substitution,replace | replace | replace
448,"ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»","yii, ñaan ci Yàlla rekk a leen di dàq.»","yiy, ñaan ci Yàlla rekk a leen di dàq.»",Substitution,replace
449,"دوون, نداختە خام ناڽو نە, بورووم بي لا.","doon, ndaxte xam nañu ne, Boroom bi la.","doon, ndaxte xam nañu ne, boroom bi la.",Majuscule / minuscule,replace
450,نداخ ياا دي يليياس?» مو نە لەەن:,Ndax yaa di Iliyas?» Mu ne leen:,Yàx yaa di Iliyas?» Mu ne leen:,Substitution,replace
451,جێييا,jéyya,jéyia,Substitution,replace
452,دێنك ناا ياووت يي اك گەرەگ يي,Dénk naa Yawut yi ak Gereg yi,dénk naa Yawut yi ak gereg yi,Majuscule / minuscule,replace | replace
453,"توور خەل مو سەلل, مي مو مايە,","tuur Xel mu Sell, mi mu maye,","tuur xel mu Sell, mi mu maye,",Majuscule / minuscule,replace
454,ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.,Substitution,replace | replace
455,"ماريااما دافا تانن چێر بي گێن, تە","Maryaama dafa tànn cér bi gën, te","Maryaama dafa tann cér bi gën, te",Diacritique / accent,replace
456,"ناڽو لوولو, ڽو دالدي واارو لوول نە","nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne",Substitution,replace | replace
457,"تاسكاتي رێەو ما يت, يا ڽو دااجاالە","Taskati réew ma it, ya ñu daajaale","taskati réew ma it, ya ñu daajaale",Majuscule / minuscule,replace
458,گاددااي,gàddaay,gaddaay,Diacritique / accent,replace
459,"اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي","ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi",Substitution,replace | replace | replace | replace | replace
460,"ڠەلاو لي, نداختە ڠەلاو لي دا نوو سوفلو.","ngelaw li, ndaxte ngelaw li da noo soflu.","ngelaw li, ndaxte ngelaw li da noo suflu.",Substitution,replace
461,"راب يوويوو ڠي كو دوون ڽاان, ڠير","Rab yooyoo ngi ko doon ñaan, ngir","rab yooyoo ngi ko doon ñaan, ngir",Majuscule / minuscule,replace
462,"ديناڽو لەەن داق چا جاڠو يا, تە","Dinañu leen dàq ca jàngu ya, te","dinañu leen dàq ca jàngu ya, te",Majuscule / minuscule,replace
463,تەي دامم مبورو چا كێر يا; ڽوي,tey damm mburu ca kër ya; ñuy,tey dàmm mburu ca kër ya; ñuy,Diacritique / accent,replace
464,"كان چي يێەن, بو لا سا دووم","Kan ci yéen, bu la sa doom","kan ci yéen, bu la sa doom",Majuscule / minuscule,replace
465,ياي,yaay,yay,Suppression,delete
466,بو نجااتيگەەم ڽێوەە تە گيس موي دەف,Bu njaatigeem ñëwee te gis muy def,bu njaatigeem ñëwee te gis muy def,Majuscule / minuscule,replace
467,"نە كو: «لو تاخ نوي ووور, نون","ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun",Substitution,replace
468,"سي گومبا گي گيس, دالدي توپپ يەەسو چي يوون وي.","si gumba gi gis, daldi topp Yeesu ci yoon wi.","si gumba gi gis, daldi topp yeesu ci.",Erreur multiple / combinaison,replace | delete
469,"ام نا ڽاار ڽو لەەن فەەڽو, سول يێرە يوي مەلاخ.","am na ñaar ñu leen feeñu, sol yére yuy melax.","yam na ñaar ñu leen feeñu, sul yére yuy melax.",Erreur multiple / combinaison,insert | replace
470,"كو خامول نە, دێككو ەفەس موو دي","ku xamul ne, dëkku Efes moo di","ko xamul ne, dëkku Efes moo di",Substitution,replace
471,"مي, بايييل لەەن باراباس, با نوپپي مو","mi, bàyyil leen Barabas, ba noppi mu","yi, bàyyil leen barabas, ba noppi mu",Substitution,replace | replace
472,"ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر","ñu ràbbe kawaru giléem, takk geñog der","Ñu rabbe kawaru Gilëem, takk geñug der",Substitution,replace | replace | replace | replace | replace
473,ماڠي بێگگ لەكك چێب نيي.,Mangi bëgg lekk cëb nii.,màngi bëgg lekk cëb nii.,Diacritique / accent,replace
474,نا خەل مي جاارالە كو چي لوخوي,na Xel mi jaarale ko ci loxoy,na xel mi jaarale ko ci loxoy,Majuscule / minuscule,replace
475,"چا گێەو, با ڽوي واخ ارەيوپاس. ڽو","ca géew, ba ñuy wax Areyopas. Ñu","ca géew, ba ñuy wax areyupas. Ñu",Substitution,replace | replace
476,"واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو","waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu",Substitution,replace | replace | replace | replace
477,"ناان دو ماراتي موكك, نداختە داي نەكك","naan du marati mukk, ndaxte day nekk","Naan du marati mukk, ndaxte day nekk",Majuscule / minuscule,replace
478,"مارت تونتو كو نە: «خام ناا نە,","Màrt tontu ko ne: «Xam naa ne,","Mart tontu ko ne: «Xam naa ne,",Diacritique / accent,replace
479,لو تاخ ڠاي خوول ڽاخ گي چي,Lu tax ngay xool ñax gi ci,lu tax ngay xool ñax gi ci,Majuscule / minuscule,replace
480,يوونو موساا داان نا خامب بێگگ-بێگگ يو,yoonu Musaa daan na xamb bëgg-bëgg yu,Yoonu Musaa daan na xàmb bëgg-bëgg yu,Diacritique / accent,replace | replace
481,"يەەسو گێنن, جاللاات دەخو يوردان, تووگ فا","Yeesu génn, jàllaat dexu Yurdan, toog fa","Yeesu génn, jallaat dexu Yurdan, toog fa",Diacritique / accent,replace
482,"نيي لا دوون واارەە: «تووبلەەن سەەني باككاار,","Nii la doon waaree: «Tuubleen seeni bàkkaar,","niy la doon waaree: «Tuubleen seeni bàkkaar,",Substitution,replace | replace
483,واايە ليي لا كو ياللا تونتو: «دەنچال,Waaye lii la ko Yàlla tontu: «Dencal,Waaye liy la ko Yàlla tontu: «Dencal,Substitution,replace
484,"چي ساا سي تااليبە يي خوول, واايە","Ci saa si taalibe yi xool, waaye","ci saa si taalibe yi xool, waaye",Majuscule / minuscule,replace
485,بااخ بوي يندي مبێگ مو رێي چي نيت ڽێپپ.,baax buy indi mbég mu réy ci nit ñépp.,Yaax buy yindi mbëg mu réy ci nit ñépp.,Erreur multiple / combinaison,replace | insert | replace
486,ماي وار ا فێەتەووو چي ندونو لي.”,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”,Substitution,replace | replace
487,"كو بێگگ ا سييو, دوو نێبب ساي","Ku bëgg a siiw, doo nëbb say","ku bëgg a siiw, doo nëbb say",Majuscule / minuscule,replace
488,فوككي,fukki,Fukki,Majuscule / minuscule,replace
489,ما خامە بااي بي تە بااي بي,ma xame Baay bi te Baay bi,ma xame baay bi te baay bi,Majuscule / minuscule,replace | replace
490,فەكك ڽوي روب نێەو بوو خام نە,fekk ñuy rob néew boo xam ne,fekk ñuy rub néew boo xam ne,Substitution,replace
491,"يسراييل اك ساما ڽاان چي ياللا, مووي ڽو موچچ.","Israyil ak sama ñaan ci Yàlla, mooy ñu mucc.","ysrayil ak sama ñaan ci Yàlla, mooy ñu mucc.",Substitution,replace
492,"ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت","saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet",Substitution,replace | replace | replace
493,فوو جێم چي ساما خالە.,Foo jëm ci sama xale.,foo jëm ci sama xale.,Majuscule / minuscule,replace
494,موسال ما چي لي نار ا خەو,musal ma ci li nar a xew,Musal ma ci li nar a xew,Majuscule / minuscule,replace
495,"موو اموون بێكك-نێەگ بو ڽو جييڽ نە, دافاي پاسار-پاسارەە الال جي.","moo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-pasaree alal ji.","yoo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-palarareralararee alarerala.",Erreur multiple / combinaison,replace | replace | insert | replace
496,سيب سەەن تور ڠير دوومو نيت كي.,sib seen tur ngir Doomu nit ki.,sib seen tur ngir doomu nit ki.,Majuscule / minuscule,replace
497,الل,àll,all,Diacritique / accent,replace
498,"جو دوومو نيت كي دي ڽێو, واايە دوڠەەن كو گيس.","ju Doomu nit ki di ñëw, waaye dungeen ko gis.","ju doomu nit ki di ñëw, waaye dungeen ko gis.",Majuscule / minuscule,replace
499,"نداختە خام نانو نە, تارييخا بووبا, كەنن جوبلووو كو فەنن.»","ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»","yànte xam nanu ne, tariixa booba, kenn jubloo ko fenn.»",Erreur multiple / combinaison,insert | delete | replace
500,"تووي گي, لو ڽوي دەف گاراب گو ووو گي?»","tooy gi, lu ñuy def garab gu wow gi?»","wooy gi, lu ñuy def garab gu woo gi?»",Substitution,replace | replace
501,"نوپپي مبوولووم ڽي گێم چي يەروسالەم, ڽو يەبال بارناباس با انچوس.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal Barnabas ba Ancos.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal bar Ma àncos.",Erreur multiple / combinaison,replace | delete | replace | replace
502,"با پيچچي اساماان ڽێو, تاگگ چيي چارام.»","ba picci asamaan ñëw, tàgg ciy caram.»","ba Picci asamaan ñëw, tàgg ciy caram.»",Majuscule / minuscule,replace
503,بێگالال,bégalal,bëgalal,Diacritique / accent,replace
504,سوو دەە لەكك لوي ينديل سا مورووم,Soo dee lekk luy indil sa moroom,soo dee lekk luy yidil sa moroom,Erreur multiple / combinaison,replace | insert | delete
505,بااي بي چي كاو دينا لەەن باال سەەني تووڽ يێەن يتام.,Baay bi ci kaw dina leen baal seeni tooñ yéen itam.,baay bi ci kaw dina leen baal seeni tooñ yéen itam.,Majuscule / minuscule,replace
506,"مارت ناگ اموون راكك جو تودد ماريااما,","Màrt nag amoon rakk ju tudd Maryaama,","mart nag amoon rakk ju tudd Maryaama,",Diacritique / accent,replace
507,واايە وارونوو يەمالە تووڽو ااداما اك مايو,Waaye warunoo yemale tooñu Aadama ak mayu,waaye warunuo yemale tooñu aadama ak mayu,Substitution,replace | replace | replace
508,توپپاتوو,toppatoo,toppatuo,Erreur multiple / combinaison,insert | delete
509,"واايە ڠير موي سەەن سورگا, با جوخە","waaye ngir muy seen surga, ba joxe","Waaye ngir muy seen surga, ba joxe",Majuscule / minuscule,replace
510,بيرەە,biree,Iiree,Substitution,replace
511,"رێي-ا-رێي لا ووون. نوونو ڽو خوول, گيس نە دوج وا دەڽ.","réy-a-réy la woon. Noonu ñu xool, gis ne doj wa deñ.","réy-a-réy la woon. Noonu ñu xool, gis ne duj wa deñ.",Substitution,replace
512,تاييەەل,tàyyeel,tayyeel,Diacritique / accent,replace
513,"ووو, دا لەەن ا اتتە ني ڽو","woo, da leen a àtte ni ñu","woow, da leen a àtte ni ñu",Insertion,insert
