confusion,attendu_caractere,predit_caractere,mot_attendu,mot_predit,position_dans_mot,position_caractere,phrase_attendue,phrase_predite,Ajami
u -> o,u,o,xutbakat,xotbakat,Milieu du mot,1,ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.,Ndaxte jàngal na leen ak sañ-sañ bu seeni xotbakat amul.,نداختە جاڠال نا لەەن اك ساڽ-ساڽ بو سەەني خوتباكات امول.
u -> o,u,o,nangou,nangoo,Fin du mot,5,Nanga nangou dem ak man.,nanga nangoo dem ak man.,ناڠا ناڠوو دەم اك مان.
o -> u,o,u,koy,kuy,Milieu du mot,1,"ma déglu, waaye dama koy wax, ngir","ma déglu, waaye dama kuy wax, ngir","ما دێگلو, واايە داما كوي واخ, ڠير"
o -> u,o,u,wodd?,wudd?,Milieu du mot,1,"taal bi, ndax du leen gën a wodd?","taal bi, ndax du leen gën a wudd?","تاال بي, نداخ دو لەەن گێن ا وودد?"
u -> o,u,o,ku,ko,Fin du mot,1,"yoonu Musaa tële woon a àttee nit ni ku jub,","yoonu Musaa tële woon a àttee nit ni ko jub,","يوونو موساا تێلە ووون ا اتتەە نيت ني كو جوب,"
o -> u,o,u,koy,kuy,Milieu du mot,1,"li ma wax, dama koy wax, ni","li ma wax, dama kuy wax, ni","لي ما واخ, داما كوي واخ, ني"
u -> o,u,o,solu,solo,Fin du mot,3,"Noonu Seytaane daldi solu Yudaa, mi ñuy","Noonu seytaane daldi solo yudaa, mi ñuy","نوونو سەيتاانە دالدي سولو يوداا, مي ڽوي"
o -> u,o,u,melokaani,melukaani,Milieu du mot,3,melokaani,melukaani,مەلوكااني
u -> o,u,o,"raxasuwul,","raxasooul,",Milieu du mot,5,"gisee ne Yeesu raxasuwul, laata muy lekk.","gisee ne Yeesu raxasooul, laata muy lekk.","گيسەە نە يەەسو راخاسووول, لااتا موي لەكك."
u -> o,u,o,suul,sool,Milieu du mot,1,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.,بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.
u -> o,u,o,suul,sool,Milieu du mot,2,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.,بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.
o -> u,o,u,dogale,dugale,Milieu du mot,1,"ñu gisee nit, ka sàcc ya dogale woon?»","ñu gisee nit, ka sàcc ya dugale woon?»","ڽو گيسەە نيت, كا ساچچ يا دوگالە ووون?»"
u -> o,u,o,wuuteek,wooteek,Milieu du mot,1,wuuteek,wooteek,وووتەەك
u -> o,u,o,wuuteek,wooteek,Milieu du mot,2,wuuteek,wooteek,وووتەەك
u -> o,u,o,duun,doon,Milieu du mot,1,duun,doon,دوون
u -> o,u,o,duun,doon,Milieu du mot,2,duun,doon,دوون
y -> i,y,i,"milyoŋ,","milioŋ,",Milieu du mot,3,"ma ñaari milyoŋ, seetal, ame naa ci yeneen ñaar.”","ma ñaari milioŋ, seetal, ame naa ci yeneen ñaar.”","ما ڽااري ميليوڠ, سەەتال, امە ناا چي يەنەەن ڽاار.”"
o -> u,o,u,ko,ku,Milieu du mot,1,"xutbakat ya. Dinañu ko àtte, teg ko","xutbakat ya. Dinañu ko àtte, teg ku","خوتباكات يا. ديناڽو كو اتتە, تەگ كو"
i -> y,i,y,Léegi,léeeyi,Fin du mot,4,Léegi nag yéena ngi may wut a,léeeyi nag yéena ngi may wut a,لێەگي ناگ يێەنا ڠي ماي ووت ا
o -> u,o,u,"Sool,","suul,",Milieu du mot,1,"baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu","باات بو ما نە: “سوول, سوول, لو"
o -> u,o,u,"Sool,","suul,",Milieu du mot,2,"baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu","باات بو ما نە: “سوول, سوول, لو"
o -> u,o,u,sol,sul,Milieu du mot,1,"ndeyjoor waxambaane wu sol mbubb mu weex, ñu daldi tiit.","ndeyjoor waxambaane wu sul mbubb mu weex, ñu daldi tiit.","ندەيجوور واخامباانە وو سول مبوبب مو وەەخ, ڽو دالدي تييت."
u -> o,u,o,Fatou.,fàtoo.,Milieu du mot,4,Maa ngi tudd Fatou.,maa ngi tudd fàtoo.,ماا ڠي تودد فاتوو.
u -> o,u,o,Ku,ko,Fin du mot,1,"Ku leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","ko leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","كو لەەن فيتناال, ڽاانال-لەەن كو ييو, تە باڽ كوو مۆولو."
o -> u,o,u,dogal,dugal,Milieu du mot,1,"Ndaxte li Boroom bi dogal ci àddina,dina","Ndaxte li boroom bi dugal ci àddina,dina","نداختە لي بورووم بي دوگال چي اددينا,دينا"
o -> u,o,u,ko,ku,Fin du mot,1,jub képp ku ko gëm.,jub képp ku ku gëm.,جوب كێپپ كو كو گێم.
i -> y,i,y,miig.,miyg.,Milieu du mot,2,"dugge fii, te amuloo mbubbum céet?” Waa ji ne miig.","dugge fii, te amuloo mbubbum céet?” waa ji ne miyg.","دوگگە فيي, تە امولوو مبوببوم چێەت?” واا جي نە مييگ."
i -> y,i,y,indil,yoniid,Début du mot,0,dafa am ku ko indil lekk?»,dafa am ku ko yoniid lekk?»,دافا ام كو كو ينديل لەكك?»
i -> y,i,y,i,"yittaalibeem,",Début du mot,0,"jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","jóge fa ak yittaalibeem, jall xoru Sedurun, dugg cib tool.","جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول."
o -> u,o,u,doy,duy,Milieu du mot,1,Baay bi; loolu doy na nu.»,baay bi; loolu duy na nu.»,بااي بي; لوولو دوي نا نو.»
o -> u,o,u,nangoo,nanguu,Milieu du mot,4,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.
o -> u,o,u,nangoo,nanguu,Fin du mot,5,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.
o -> u,o,u,boyetu,buyetu,Milieu du mot,1,"yoroon boyetu xaalis bi, te daan ci sàkk.","yoroon buyetu xaalis bi, te daan ci sàkk.","يوروون بويەتو خااليس بي, تە داان چي ساكك."
o -> u,o,u,wóoluwoo,wóoluwu,Milieu du mot,6,wóoluwoo,wóoluwu,وۆولوووو
o -> u,o,u,delloo.,delluo.,Milieu du mot,4,"garabu oliw gu kër gi, Yàlla dina leen ci delloo.","yarabu wliw gu kër gi, Yàlla dina leen ci delluo.","گارابو وليو گو كێر گي, ياللا دينا لەەن چي دەللوو."
o -> u,o,u,Teyofil,teyufil,Milieu du mot,3,"Yaw Teyofil mu tedd mi, xam nga","yaw teyufil mu tedd mi, xam nga","ياو تەيوفيل مو تەدد مي, خام ڠا"
o -> u,o,u,"dàggeekoo,","daggeekuo,",Milieu du mot,7,"dàggeekoo, man duma la bàyyi mukk.»","daggeekuo, man duma la bàyyi mukk.»","داگگەەكوو, مان دوما لا باييي موكك.»"
o -> u,o,u,doy,duy,Milieu du mot,1,doy,duy,دوي
y -> i,y,i,"yi,","yi,",Début du mot,0,"«Kilifa yi, lu ma war a def, ba mucc?»","yklifa yi, lu ma war a def, ba mucc?»","«كيليفا يي, لو ما وار ا دەف, با موچچ?»"
o -> u,o,u,sobe,sube,Milieu du mot,1,"ci kër Yàlla gi, ba indi sobe","ci kër Yàlla gi, ba indi sube","چي كێر ياللا گي, با يندي سوبە"
i -> y,i,y,Lii,liy,Fin du mot,2,"Lii mooy ñaareelu firnde, bi Yeesu def","liy mooy ñaareelu firnde, bi Yeesu def","ليي مووي ڽاارەەلو فيرندە, بي يەەسو دەف"
o -> u,o,u,ko,ku,Fin du mot,1,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi,بايييواات كو في ات ميي. ديناا واقي
i -> y,i,y,mii.,miy.,Milieu du mot,2,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi,بايييواات كو في ات ميي. ديناا واقي
i -> y,i,y,yiir,yiyr,Milieu du mot,2,Aji Kawe ji dina la yiir ci,Aji kawe ji dina la yiyr ci,اجي كاوە جي دينا لا ييير چي
u -> o,u,o,fuytéef,Foytéef,Milieu du mot,1,fuytéef,Foytéef,فويتێەف
u -> o,u,o,doxub,doxob,Milieu du mot,3,"ñu daldi sànni diigal, ngir wàññi doxub","Ñu daldi sànni diigal, ngir waññi doxob","ڽو دالدي سانني دييگال, ڠير واڽڽي دوخوب"
i -> y,i,y,kii,kiy,Fin du mot,2,"leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen.","لەەن, كيي گۆور, كيي جيگێەن."
i -> y,i,y,kii,kiy,Fin du mot,2,"leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen.","لەەن, كيي گۆور, كيي جيگێەن."
o -> u,o,u,politig,pulitig,Milieu du mot,1,politig,pulitig,پوليتيگ
i -> y,i,y,miir,miyr,Milieu du mot,2,"yaw mi naaféq, bay samandaay miir bu","yaw mi naaféq, bay samandaay miyr bu","ياو مي ناافێق, باي ساماندااي ميير بو"
o -> u,o,u,sonn,sunn,Milieu du mot,1,"war na sonn lu bare, ñu xeeb ko, dëddu ko.","war na sunn lu bare, ñu xeeb ko, dëddu ko.","وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو."
o -> u,o,u,cosaanoo,cosaanuo,Milieu du mot,6,Gannaaw Yàlla baalul car ya cosaanoo ca,Gannaaw Yàlla baalul car ya cosaanuo ca,گاننااو ياللا باالول چار يا چوساانوو چا
o -> u,o,u,tuuboon,tuubuon,Milieu du mot,4,tuuboon,tuubuon,تووبوون
o -> u,o,u,ko,ku,Fin du mot,1,"mu seedee ko nii: “Gis naa Daawuda,","mu seedee ku nii: “Gis naa daawuda,","مو سەەدەە كو نيي: “گيس ناا دااوودا,"
u -> o,u,o,Kou,koo,Fin du mot,2,Kou lekk cëb amna wërsëg.,koo lekk cëb amna wërsëg.,كوو لەكك چێب امنا وێرسێگ.
o -> u,o,u,"yeewoo,","yeewu,",Milieu du mot,4,"""Bu ma yeewoo, damay wér.""","""Bu ma yeewu, damay wér.""","""بو ما يەەووو, داماي وێر."""
u -> o,u,o,muucu.,mooco.,Milieu du mot,1,"bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu","بانت, جوخ كو كو, مو مووچو. مو"
u -> o,u,o,muucu.,mooco.,Milieu du mot,2,"bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu","بانت, جوخ كو كو, مو مووچو. مو"
u -> o,u,o,muucu.,mooco.,Milieu du mot,4,"bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu","بانت, جوخ كو كو, مو مووچو. مو"
o -> u,o,u,wor,wur,Milieu du mot,1,"Jógleen nu dem; ki may wor a ngi nii, di ñëw.»","jógleen nu dem; ki may wur a ngi nii, di ñëw.»","جۆگلەەن نو دەم; كي ماي وور ا ڠي نيي, دي ڽێو.»"
o -> u,o,u,"ko,","ku,",Milieu du mot,1,"niir ko, dégg baatu Boroom bi ne ko:","niir ku, dégg baatu boroom bi ne ko:","نيير كو, دێگگ بااتو بورووم بي نە كو:"
o -> u,o,u,ko,ku,Fin du mot,1,"bàkkaaram a ko waral, walla bu waajuram?»","bàkkaaram a ku waral, walla bu waajuram?»","باككاارام ا كو وارال, واللا بو وااجورام?»"
u -> o,u,o,"wuute,","woote,",Milieu du mot,1,"ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq","اك اي جاڠورو يو وووتە, تە داق"
u -> o,u,o,"wuute,","woote,",Milieu du mot,2,"ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq","اك اي جاڠورو يو وووتە, تە داق"
i -> y,i,y,yéwwikoo,yéwuyoo,Milieu du mot,4,yéwwikoo,yéwuyoo,يێوويكوو
o -> u,o,u,nanguwuñoo,nanguwuñuoy,Milieu du mot,8,Noonu nanguwuñoo yiwi Yason ak ñi ci,Noonu nanguwuñuoy Yiwi Yasun ak ñi ci,نوونو ناڠوووڽوو ييوي ياسون اك ڽي چي
o -> u,o,u,doy,duy,Milieu du mot,1,doy ngir mbooloo mu tollu nii?»,duy ngir mbooloo mu tollu nii?»,دوي ڠير مبوولوو مو توللو نيي?»
o -> u,o,u,xamaakoonu,xamaakuonu,Milieu du mot,6,xamaakoonu,xamaakuonu,خامااكوونو
