Ajami,Wolof_attendu,Wolof_predit,categorie_audit
"رەكك, واايە يت دينا داانەەل ماگگالوكاايو ارتەميس","rekk, waaye it dina daaneel màggalukaayu Artemis","rekk, waaye it dina daaneel màggalukaayu àrttemis",Erreur linguistique / structurelle
"يندي يەنەەن جورۆوم ناان: “كيليفا گي, دێنك","indi yeneen juróom naan: “Kilifa gi, dénk","niddi yeneen juróom naan: “Kilifa gi, dënk",Erreur linguistique / structurelle
"مو يۆننەەتي بەنەەن سورگا, ڽو رەي كو.","Mu yónneeti beneen surga, ñu rey ko.","mu yónneeti beneen surga, ñu rey ko.",Casse uniquement
"ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو.","ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu.",Erreur linguistique / structurelle
باننەەخي,bànneexi,banneexi,Diacritique uniquement
خول يي فەەس نا.,Xol yi fees na.,xul yi fees na.,Erreur linguistique / structurelle
"ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ.","ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp.",Erreur linguistique / structurelle
"پيلاات تونتو لەەن: «املەەن, اي ووتتوكات ا","Pilaat tontu leen: «Amleen, ay wottukat a","Pilaat tontu leen: «Amleen, ay wuttukat a",Erreur linguistique / structurelle
چي فيرندە جيي ڠەەن كوي خاممەە: ديڠەەن,Ci firnde jii ngeen koy xàmmee: dingeen,ci firnde jii ngeen koy xàmmee: dingeen,Casse uniquement
رێەو مي; مان كێلۆدد ليسيياس ماا ڠي لاي نويو.,réew mi; man Këlódd Lisiyas maa ngi lay nuyu.,réew mi; man këlódd lisiias maa ngi lay nuyu.,Erreur linguistique / structurelle
ڠوور ييي اك سەەن ندام نداختە جێببال,nguur yii ak seen ndam ndaxte jébbal,nguur yiy ak seen ndax ndaxte jébbal,Erreur linguistique / structurelle
"اي نديگال, جاارە چي خەل مو سەلل","ay ndigal, jaare ci Xel mu Sell","ay ndigal, jaare ci xel mu Sell",Casse uniquement
جێلە دارا چي لوخوب بااي بي.,jële dara ci loxob Baay bi.,jële dara ci loxob baay bi.,Casse uniquement
يت پييەەر; فەكك لوولو داجە اك بێسي,it Piyeer; fekk loolu daje ak bési,tit Piyeer; fekk loolu daje ak bési,Erreur linguistique / structurelle
"نداخ جاادو نا, نو فەي بوور بي سەساار گالاگ واللا دێەت?»","ndax jaadu na, nu fey buur bi Sesaar galag walla déet?»","ydax jaadu na, nu fey buur bi sesaar galag wélla déet?»",Erreur linguistique / structurelle
"ڽاار نە لەەن: «نو ڠي دەم يەروسالەم,","ñaar ne leen: «Nu ngi dem Yerusalem,","Ñaar ne leen: «Nu ngi dem Yerusalem,",Casse uniquement
"سووف داي مەڽڽ مووم چي بوپپام, مو","Suuf day meññ moom ci boppam, mu","Yuuf day meññ moom ci boppam, mu",Erreur linguistique / structurelle
نەرر,nerr,err,Erreur linguistique / structurelle
نوسە,nose,Nuse,Erreur linguistique / structurelle
داانو چي سووف تە سووبول سەەن بااي.,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.,Erreur linguistique / structurelle
واخ جووجو ناگ دالدي جااخال تااليبە يي,Wax jooju nag daldi jaaxal taalibe yi,wax jooju nag daldi jaaxal taalibe yi,Casse uniquement
خاناا كون ڠێم داي فانق يوونو موساا?,Xanaa kon ngëm day fanq yoonu Musaa?,xanaa kon ngëm day fanq yoonu Musaa?,Casse uniquement
"ڽوي لەكك, تە لااجوون كو نە: «بورووم","ñuy lekk, te laajoon ko ne: «Boroom","Ñuy lekk, te laajoon ko ne: «Boroom",Casse uniquement
"مان پوول, نداوول كيريست يەەسو چي چووبارەگ","Man Pool, ndawul Kirist Yeesu ci coobareg","man Pool, ndawul Kirist Yeesu ci coobareg",Casse uniquement
"ا فاڠاارال دوگگ چيب دێكك, واايە مو","a faŋaaral dugg cib dëkk, waaye mu","Ya fàngaaral dugg cib dëkk, waaye mu",Erreur linguistique / structurelle
"ڽي دوون دەف لوولو, جورۆوم-ڽااري دووم لاڽو","Ñi doon def loolu, juróom-ñaari doom lañu","ñi doon def loolu, juróom-ñaari doom lañu",Casse uniquement
كو: «نداخ گێم ڠا دوومو نيت كي?»,ko: «Ndax gëm nga Doomu nit ki?»,ko: «Ndax gëm nga doomu nit ki?»,Casse uniquement
"ڽو جوب نداخ سەەن ڠێم, ڽي خارافول","ñu jub ndax seen ngëm, ñi xaraful","Ñu jub ndax seen ngëm, ñi xaraful",Casse uniquement
"بي لوولو امەە يەەسو جۆگە فووفا, دوگگ چي سەەن جاڠو,","Bi loolu amee Yeesu jóge foofa, dugg ci seen jàngu,","Bi loolu amee Yeesu jóge foofa, dugg càngu,",Erreur linguistique / structurelle
"«كو لەەن دێگلو, دێگلو نا ما; كو","«Ku leen déglu, déglu na ma; ku","«Ku leen déglu, dëglu na ma; ku",Diacritique uniquement
"جەگەڽسي نە كو: “كيليفا گي, دێنك ڠا","jegeñsi ne ko: “Kilifa gi, dénk nga","jegeñsi ne ko: “Kilifa gi, dënk nga",Diacritique uniquement
گو ڽوي واخ تيبەريادد. نيي لا دەمە ووون:,gu ñuy wax Tiberyàdd. Nii la deme woon:,yu ñuy wax tiberiadd. Nii la deme woon:,Erreur linguistique / structurelle
كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,Erreur linguistique / structurelle
كي كوي وور دينا توروخ. باڽوون ا,ki koy wor dina torox. Bañoon a,ki koy wor dina turox. Bañoon a,Erreur linguistique / structurelle
"ڽي راب جاپپ, ڽو دي لەەن جێەم","ñi rab jàpp, ñu di leen jéem","Ñi rab jàpp, ñu di leen jéem",Casse uniquement
"لەەن, نداختە داڽوو سونن با نە يوگگ,","leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,",Erreur linguistique / structurelle
نوونو يەەسو وێر دێكك يو ماگ يا,Noonu Yeesu wër dëkk yu mag ya,Noonu Yeesu wér dëkk yu mag ya,Diacritique uniquement
نيت كي يور خەلوم ياللا دافاي اتتە,Nit ki yor Xelum Yàlla dafay àtte,nit ki yor xelum Yàlla dafay atte,Casse + diacritique
ما كو بااي بي سانتە.»,ma ko Baay bi sante.»,ma ko baay bi sante.»,Casse uniquement
چي كاو لوولو يەەسو نە لەەن: «نانو,Ci kaw loolu Yeesu ne leen: «Nanu,ci kaw loolu Yeesu ne leen: «Nanu,Casse uniquement
"نێەو بي دالدي گێنن, ڽو گيس چاڠااي,","Néew bi daldi génn, ñu gis càngaay,","néew bi daldi gënn, ñu gis càngaay,",Casse + diacritique
لەەن چي ندوخ چي تورو يەەسو بورووم بي.,leen ci ndox ci turu Yeesu Boroom bi.,leen ci ndox ci turu Yeesu boroom bi.,Casse uniquement
"ساما كااس, واايە تووگ چي ساما ندەيجوور","sama kaas, waaye toog ci sama ndeyjoor","Yama kaas, waaye toog ci sama ndeyjoor",Erreur linguistique / structurelle
"فەكك تااليبەي يەەسو يا دي كو گێتێن نە: «كيليفا گي, لەككال.»","Fekk taalibey Yeesu ya di ko gétën ne: «Kilifa gi, lekkal.»","fekk taalibey Yeesu ya di ko gëtën ne: «Kilifa gi, lekkal.»",Casse + diacritique
تانن,tànn,tann,Diacritique uniquement
ادديناي,àddinay,dàddinay,Erreur linguistique / structurelle
نجاببوتام,njabbotam,jjabbutam,Erreur linguistique / structurelle
رێگلە,rëgle,régle,Diacritique uniquement
ويي? نو ڠەەن خامە ناگ لێەب يي چي دەس?,wii? Nu ngeen xame nag léeb yi ci des?,wiy? Nu ngeen xame nag léeb yi ci des?,Erreur linguistique / structurelle
"ڽوو فەەڽ چي ندامو ياللا, دي واختاانە","Ñoo feeñ ci ndamu Yàlla, di waxtaane","ñoo feeñ ci ndamu Yàlla, di waxtaane",Casse uniquement
كي گێن ا ماگ چي يێەن مووي,Ki gën a mag ci yéen mooy,ki gën a mag ci yéen mooy,Casse uniquement
"تاخاو چا وەتام, ڽو فێل گێمميڽام.","taxaw ca wetam, ñu fél gémmiñam.","taxaw ca wetam, ñu fël gëmmiñam.",Diacritique uniquement
"لو بون, ڠير لو بااخ گێنن چا?»","lu bon, ngir lu baax génn ca?»","lu bon, ngir lu baax gënn ca?»",Diacritique uniquement
ڽااوتێەفو,ñaawtéefu,Ñaawtéefu,Casse uniquement
مەلوو,melow,meloo,Erreur linguistique / structurelle
"نيي.» بووبا لا كو تااليبە با يۆببو كێرام, يور كو.","nii.» Booba la ko taalibe ba yóbbu këram, yor ko.","nii.» Booba la ko taalibe ba yóbbu këram, yur ko.",Erreur linguistique / structurelle
يددا,idda,didda,Erreur linguistique / structurelle
"بێگگە, نداختە باككانو نيت اجووول چي الالام, اك لو مو بارەە-بارە.»","bëgge, ndaxte bakkanu nit ajuwul ci alalam, ak lu mu baree-bare.»","yégge, ndaxte bàkkanu nit ajooul ci alalam, ak lu mu baree-bare.»",Erreur linguistique / structurelle
"ياللا, ڠير ليگگێەي بي ڽو اگگالە.","Yàlla, ngir liggéey bi ñu àggale.","Yàlla, ngir liggéey bi ñu aggale.",Diacritique uniquement
"نجااتيگەەم نە كو: “دەف ڠا لو بااخ,","Njaatigeem ne ko: “Def nga lu baax,","njaatigeem ne ko: “Def nga lu baax,",Casse uniquement
خام ڠەەن نە ياللا فال نا يەەسوم,Xam ngeen ne Yàlla fal na Yeesum,xam ngeen ne Yàlla fal na Yeesum,Casse uniquement
گيلە,gile,yile,Erreur linguistique / structurelle
"يوواانا, نداخ بێگگ ڠا ما?» مو نە","Yowaana, ndax bëgg nga ma?» Mu ne","yowaana, ndax bëgg nga ma?» Mu ne",Casse uniquement
ماا ڠي ياگگ فيي ات.,Maa ngi yàgg fii at.,maa ngi yàgg fii at.,Casse uniquement
"دەخو يوردان. بي مو فا دەمەە, مبوولوو","dexu Yurdan. Bi mu fa demee, mbooloo","dexu yurdan. Bi mu fa demee, mbooloo",Casse uniquement
"لێەگي ناگ بورووم بي, سەەتال سەەني تێككو","Léegi nag Boroom bi, seetal seeni tëkku","léegi nag boroom bi, seetal seeni tëkku",Casse uniquement
خاناا نداخ نو دەم جێندال مبوولوو ميي لو ڽو لەكك?»,Xanaa ndax nu dem jëndal mbooloo mii lu ñu lekk?»,xanaa ndax nu dem jëndal mbooloo miy lu ñu luklukalu?»,Erreur linguistique / structurelle
"اك كاتتان; موي وێر, دي دەف لو","ak kàttan; muy wër, di def lu","ak kàttan; muy wér, di def lu",Diacritique uniquement
داما جاڠ الخوراان.,Dama jàng Alxuraan.,dama jang alxuraan.,Casse + diacritique
بانني يسراييل تە خامولوو مبير ييي?,bànni Israyil te xamuloo mbir yii?,banni Israyil te xamuloo mbir yiy?,Erreur linguistique / structurelle
"سيموڠ, با اگسي چي بونت بي.","Simoŋ, ba agsi ci bunt bi.","simoŋ, ba agsi ci bunt bi.",Casse uniquement
"يي, ديڠەەن توروخ! نداختە يێەنا ڠي وێر","yi, dingeen torox! Ndaxte yéena ngi wër","yi, dingeen torox! Ndaxte yéena ngi wér",Diacritique uniquement
يێەنا ڠي واخ نە: “كو گيڽە كێر,Yéena ngi wax ne: “Ku giñe kër,éeena ngi wax ne: “Ku giñe kër,Erreur linguistique / structurelle
"بااخ, فەكك داڠەەن بون? نداختە گێمميڽ, لا فەەس خول لاي واخ.","baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.","baax, fekk dangeen bun? Ndaxte gëmmiñ, la fees xol lay wax.",Erreur linguistique / structurelle
"بي مو گيسەە پييەەر اك يوواانا ناگ,","Bi mu gisee Piyeer ak Yowaana nag,","Bi mu gisee piyeer ak yowaana nag,",Casse uniquement
"چا دەس دێگگ ناڽو لوولو, ڽو دالدي مەرە سااگ اك يوواانا.","ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.","ca des dégg nañu loolu, ñu daldi mere saag ak yuwaana.",Erreur linguistique / structurelle
"چي كاو لوولو سوول, مي تودد يت","Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it",Erreur linguistique / structurelle
چي كاو لوولو پييەەر جێل كاددو گي,Ci kaw loolu Piyeer jël kàddu gi,ci kaw loolu Piyeer jël kàddu gi,Casse uniquement
بيي; دوگال نا ساخ اي گەرەگ فيي,bii; dugal na sax ay Gereg fii,bii; dugal na sax ay gereg fii,Casse uniquement
"كو لا گا, ڠا يەنول كو دوخوب","Ku la ga, nga yenul ko doxub","ku la ga, nga yenul ko doxob",Erreur linguistique / structurelle
جاڠ ليي چي مبيند يي?“دوج وي تاباخكات,jàng lii ci Mbind yi?“Doj wi tabaxkat,jàng liy ci mbind yi?“Doj wi tabaxkat,Erreur linguistique / structurelle
چا ڠوون سا فوككي تااليبە يا اك,Ca ngoon sa fukki taalibe ya ak,ca ngoon sa fukki taalibe ya ak,Casse uniquement
تە ليي يتام ام نا: خام ڠەەن,Te lii itam am na: xam ngeen,te lii itam am na: xam ngeen,Casse uniquement
"بي مو كو واخەە, اگاريپا نە پوول:","Bi mu ko waxee, Agaripa ne Pool:","yi mu ko waxee, agaripa ne pool:",Erreur linguistique / structurelle
"ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»","yii, ñaan ci Yàlla rekk a leen di dàq.»","yiy, ñaan ci Yàlla rekk a leen di dàq.»",Erreur linguistique / structurelle
"دوون, نداختە خام ناڽو نە, بورووم بي لا.","doon, ndaxte xam nañu ne, Boroom bi la.","doon, ndaxte xam nañu ne, boroom bi la.",Casse uniquement
نداخ ياا دي يليياس?» مو نە لەەن:,Ndax yaa di Iliyas?» Mu ne leen:,Yàx yaa di Iliyas?» Mu ne leen:,Erreur linguistique / structurelle
جێييا,jéyya,jéyia,Erreur linguistique / structurelle
دێنك ناا ياووت يي اك گەرەگ يي,Dénk naa Yawut yi ak Gereg yi,dénk naa Yawut yi ak gereg yi,Casse uniquement
"توور خەل مو سەلل, مي مو مايە,","tuur Xel mu Sell, mi mu maye,","tuur xel mu Sell, mi mu maye,",Casse uniquement
ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.,Erreur linguistique / structurelle
"ماريااما دافا تانن چێر بي گێن, تە","Maryaama dafa tànn cér bi gën, te","Maryaama dafa tann cér bi gën, te",Diacritique uniquement
"ناڽو لوولو, ڽو دالدي واارو لوول نە","nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne",Erreur linguistique / structurelle
"تاسكاتي رێەو ما يت, يا ڽو دااجاالە","Taskati réew ma it, ya ñu daajaale","taskati réew ma it, ya ñu daajaale",Casse uniquement
گاددااي,gàddaay,gaddaay,Diacritique uniquement
"اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي","ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi",Erreur linguistique / structurelle
"ڠەلاو لي, نداختە ڠەلاو لي دا نوو سوفلو.","ngelaw li, ndaxte ngelaw li da noo soflu.","ngelaw li, ndaxte ngelaw li da noo suflu.",Erreur linguistique / structurelle
"راب يوويوو ڠي كو دوون ڽاان, ڠير","Rab yooyoo ngi ko doon ñaan, ngir","rab yooyoo ngi ko doon ñaan, ngir",Casse uniquement
"ديناڽو لەەن داق چا جاڠو يا, تە","Dinañu leen dàq ca jàngu ya, te","dinañu leen dàq ca jàngu ya, te",Casse uniquement
تەي دامم مبورو چا كێر يا; ڽوي,tey damm mburu ca kër ya; ñuy,tey dàmm mburu ca kër ya; ñuy,Diacritique uniquement
"كان چي يێەن, بو لا سا دووم","Kan ci yéen, bu la sa doom","kan ci yéen, bu la sa doom",Casse uniquement
ياي,yaay,yay,Erreur linguistique / structurelle
بو نجااتيگەەم ڽێوەە تە گيس موي دەف,Bu njaatigeem ñëwee te gis muy def,bu njaatigeem ñëwee te gis muy def,Casse uniquement
"نە كو: «لو تاخ نوي ووور, نون","ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun",Erreur linguistique / structurelle
"سي گومبا گي گيس, دالدي توپپ يەەسو چي يوون وي.","si gumba gi gis, daldi topp Yeesu ci yoon wi.","si gumba gi gis, daldi topp yeesu ci.",Erreur linguistique / structurelle
"ام نا ڽاار ڽو لەەن فەەڽو, سول يێرە يوي مەلاخ.","am na ñaar ñu leen feeñu, sol yére yuy melax.","yam na ñaar ñu leen feeñu, sul yére yuy melax.",Erreur linguistique / structurelle
"كو خامول نە, دێككو ەفەس موو دي","ku xamul ne, dëkku Efes moo di","ko xamul ne, dëkku Efes moo di",Erreur linguistique / structurelle
"مي, بايييل لەەن باراباس, با نوپپي مو","mi, bàyyil leen Barabas, ba noppi mu","yi, bàyyil leen barabas, ba noppi mu",Erreur linguistique / structurelle
"ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر","ñu ràbbe kawaru giléem, takk geñog der","Ñu rabbe kawaru Gilëem, takk geñug der",Erreur linguistique / structurelle
ماڠي بێگگ لەكك چێب نيي.,Mangi bëgg lekk cëb nii.,màngi bëgg lekk cëb nii.,Casse + diacritique
نا خەل مي جاارالە كو چي لوخوي,na Xel mi jaarale ko ci loxoy,na xel mi jaarale ko ci loxoy,Casse uniquement
"چا گێەو, با ڽوي واخ ارەيوپاس. ڽو","ca géew, ba ñuy wax Areyopas. Ñu","ca géew, ba ñuy wax areyupas. Ñu",Erreur linguistique / structurelle
"واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو","waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu",Erreur linguistique / structurelle
"ناان دو ماراتي موكك, نداختە داي نەكك","naan du marati mukk, ndaxte day nekk","Naan du marati mukk, ndaxte day nekk",Casse uniquement
"مارت تونتو كو نە: «خام ناا نە,","Màrt tontu ko ne: «Xam naa ne,","Mart tontu ko ne: «Xam naa ne,",Diacritique uniquement
لو تاخ ڠاي خوول ڽاخ گي چي,Lu tax ngay xool ñax gi ci,lu tax ngay xool ñax gi ci,Casse uniquement
يوونو موساا داان نا خامب بێگگ-بێگگ يو,yoonu Musaa daan na xamb bëgg-bëgg yu,Yoonu Musaa daan na xàmb bëgg-bëgg yu,Casse + diacritique
"يەەسو گێنن, جاللاات دەخو يوردان, تووگ فا","Yeesu génn, jàllaat dexu Yurdan, toog fa","Yeesu génn, jallaat dexu Yurdan, toog fa",Diacritique uniquement
"نيي لا دوون واارەە: «تووبلەەن سەەني باككاار,","Nii la doon waaree: «Tuubleen seeni bàkkaar,","niy la doon waaree: «Tuubleen seeni bàkkaar,",Erreur linguistique / structurelle
واايە ليي لا كو ياللا تونتو: «دەنچال,Waaye lii la ko Yàlla tontu: «Dencal,Waaye liy la ko Yàlla tontu: «Dencal,Erreur linguistique / structurelle
"چي ساا سي تااليبە يي خوول, واايە","Ci saa si taalibe yi xool, waaye","ci saa si taalibe yi xool, waaye",Casse uniquement
بااخ بوي يندي مبێگ مو رێي چي نيت ڽێپپ.,baax buy indi mbég mu réy ci nit ñépp.,Yaax buy yindi mbëg mu réy ci nit ñépp.,Erreur linguistique / structurelle
ماي وار ا فێەتەووو چي ندونو لي.”,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”,Erreur linguistique / structurelle
"كو بێگگ ا سييو, دوو نێبب ساي","Ku bëgg a siiw, doo nëbb say","ku bëgg a siiw, doo nëbb say",Casse uniquement
فوككي,fukki,Fukki,Casse uniquement
ما خامە بااي بي تە بااي بي,ma xame Baay bi te Baay bi,ma xame baay bi te baay bi,Casse uniquement
فەكك ڽوي روب نێەو بوو خام نە,fekk ñuy rob néew boo xam ne,fekk ñuy rub néew boo xam ne,Erreur linguistique / structurelle
"يسراييل اك ساما ڽاان چي ياللا, مووي ڽو موچچ.","Israyil ak sama ñaan ci Yàlla, mooy ñu mucc.","ysrayil ak sama ñaan ci Yàlla, mooy ñu mucc.",Erreur linguistique / structurelle
"ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت","saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet",Erreur linguistique / structurelle
فوو جێم چي ساما خالە.,Foo jëm ci sama xale.,foo jëm ci sama xale.,Casse uniquement
موسال ما چي لي نار ا خەو,musal ma ci li nar a xew,Musal ma ci li nar a xew,Casse uniquement
"موو اموون بێكك-نێەگ بو ڽو جييڽ نە, دافاي پاسار-پاسارەە الال جي.","moo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-pasaree alal ji.","yoo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-palarareralararee alarerala.",Erreur linguistique / structurelle
سيب سەەن تور ڠير دوومو نيت كي.,sib seen tur ngir Doomu nit ki.,sib seen tur ngir doomu nit ki.,Casse uniquement
الل,àll,all,Diacritique uniquement
"جو دوومو نيت كي دي ڽێو, واايە دوڠەەن كو گيس.","ju Doomu nit ki di ñëw, waaye dungeen ko gis.","ju doomu nit ki di ñëw, waaye dungeen ko gis.",Casse uniquement
"نداختە خام نانو نە, تارييخا بووبا, كەنن جوبلووو كو فەنن.»","ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»","yànte xam nanu ne, tariixa booba, kenn jubloo ko fenn.»",Erreur linguistique / structurelle
"تووي گي, لو ڽوي دەف گاراب گو ووو گي?»","tooy gi, lu ñuy def garab gu wow gi?»","wooy gi, lu ñuy def garab gu woo gi?»",Erreur linguistique / structurelle
"نوپپي مبوولووم ڽي گێم چي يەروسالەم, ڽو يەبال بارناباس با انچوس.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal Barnabas ba Ancos.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal bar Ma àncos.",Erreur linguistique / structurelle
"با پيچچي اساماان ڽێو, تاگگ چيي چارام.»","ba picci asamaan ñëw, tàgg ciy caram.»","ba Picci asamaan ñëw, tàgg ciy caram.»",Casse uniquement
بێگالال,bégalal,bëgalal,Diacritique uniquement
سوو دەە لەكك لوي ينديل سا مورووم,Soo dee lekk luy indil sa moroom,soo dee lekk luy yidil sa moroom,Erreur linguistique / structurelle
بااي بي چي كاو دينا لەەن باال سەەني تووڽ يێەن يتام.,Baay bi ci kaw dina leen baal seeni tooñ yéen itam.,baay bi ci kaw dina leen baal seeni tooñ yéen itam.,Casse uniquement
"مارت ناگ اموون راكك جو تودد ماريااما,","Màrt nag amoon rakk ju tudd Maryaama,","mart nag amoon rakk ju tudd Maryaama,",Casse + diacritique
واايە وارونوو يەمالە تووڽو ااداما اك مايو,Waaye warunoo yemale tooñu Aadama ak mayu,waaye warunuo yemale tooñu aadama ak mayu,Erreur linguistique / structurelle
توپپاتوو,toppatoo,toppatuo,Erreur linguistique / structurelle
"واايە ڠير موي سەەن سورگا, با جوخە","waaye ngir muy seen surga, ba joxe","Waaye ngir muy seen surga, ba joxe",Casse uniquement
بيرەە,biree,Iiree,Erreur linguistique / structurelle
"رێي-ا-رێي لا ووون. نوونو ڽو خوول, گيس نە دوج وا دەڽ.","réy-a-réy la woon. Noonu ñu xool, gis ne doj wa deñ.","réy-a-réy la woon. Noonu ñu xool, gis ne duj wa deñ.",Erreur linguistique / structurelle
تاييەەل,tàyyeel,tayyeel,Diacritique uniquement
"ووو, دا لەەن ا اتتە ني ڽو","woo, da leen a àtte ni ñu","woow, da leen a àtte ni ñu",Erreur linguistique / structurelle
نە,ne,ee,Erreur linguistique / structurelle
"يوداا --دو يوداا يسكارييو دە, بەنەەن لا","Yudaa --du Yudaa Iskariyo de, beneen la","Yuddaa --du Yudaa Iskariyu de, beneen la",Erreur linguistique / structurelle
ياا ڠي گيس چي مارچهێ بي,Yaa ngi gis ci marché bi,yaa ngi gis ci marché bi,Casse uniquement
"بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون.","bon lay wax, jële ko ca fa mu denc lu bon.","bun lay wax, jële ko ca fa mu denc lu bon.",Erreur linguistique / structurelle
"ڽو بارە, با چي مان ميي دي واخ اك يێەن.","ñu bare, ba ci man mii di wax ak yéen.","Ñu bare, ba cci man miy di wax ak yéen.",Erreur linguistique / structurelle
باات ا ڠي خااچو چا مانديڠ ما,Baat a ngi xaacu ca màndiŋ ma,baat a ngi xaacu ca màndiŋ ma,Casse uniquement
خوبي,xobi,xubi,Erreur linguistique / structurelle
"جاپپولەەن ما. واايە ليي ام نا, ڠير مبيند مي ام.»","jàppuleen ma. Waaye lii am na, ngir Mbind mi am.»","yàppuleen ma. Waaye liy am na, ngir mbind mi am.»",Erreur linguistique / structurelle
"ياللا, سانتال دوج ويي مو نەكك مبورو.»","Yàlla, santal doj wii mu nekk mburu.»","yalla, santal doj wiy mu nekk mburu.»",Erreur linguistique / structurelle
"تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,","teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,",Erreur linguistique / structurelle
دەميين,demiin,demin,Erreur linguistique / structurelle
ڽو بارە دەە; واايە ييوو ياللا اك,ñu bare dee; waaye yiwu Yàlla ak,Ñu bare dee; waaye yiwu Yàlla ak,Casse uniquement
"ڽو نوپپالو, ني كو يوون وي سانتاانەە.","ñu noppalu, ni ko yoon wi santaanee.","ñu noppalu, ni ku yoon wi santaanee.",Erreur linguistique / structurelle
ياو تاميت ام ڠا سولو لوول.,Yaw tamit am nga solo lool.,yaw tamit am nga solo lool.,Casse uniquement
"جێلە, تە خام-خام بيي مو يور, لو","jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu",Erreur linguistique / structurelle
"چا, تاكك كو چي بانتو گاراب گو","ca, takk ko ci bantu garab gu","ca, takk ku ci bantu garab gu",Erreur linguistique / structurelle
لااج كو اي باتااخال يو موي يۆببول,laaj ko ay bataaxal yu muy yóbbul,Laaj ko ay bataaxal yu muy yóbbul,Casse uniquement
"يەەسو دێگگ كاددو يوويو, دالدي نە نجييت","Yeesu dégg kàddu yooyu, daldi ne njiit","Yeesu dégg kàddu yooyu, daldi njiit",Erreur linguistique / structurelle
چا بێس با ڽو جاپپ ناگ ەرودد,Ca bés ba ñu jàpp nag Erodd,ca bés ba ñu jàpp nag Erodd,Casse uniquement
"ڽێپپ; كي جۆگە چي سووف ناگ, چي","ñépp; ki jóge ci suuf nag, ci","Ñépp; ki jóge ci suuf nag, ci",Casse uniquement
فاراندووي,farandooy,Farandooy,Casse uniquement
"نداخ سونو كيليفا يي داڽوو خام نە, مووي الماسي بي?","Ndax sunu kilifa yi dañoo xam ne, mooy Almasi bi?","Ndax sunu kilifa yi dañoo xam ne, mooy almasi bi?",Casse uniquement
لەەن ا جێببال. دێنك ناا ساما مبير سەساار.»,leen a jébbal. Dénk naa sama mbir Sesaar.»,leen a jébbal. Dënk naa sama mbir sesaar.»,Casse + diacritique
"ديندي ناڽو خەەر, وا ڽو كو وبە ووون.","dindi nañu xeer, wa ñu ko ube woon.","dindi nañu xeer, wa ñu ko weewuon.",Erreur linguistique / structurelle
"نوونو كورنەي نە كو جاكك, دالدي تييت","Noonu Korney ne ko jàkk, daldi tiit","Noonu korney ne ku jàkk, daldi tiit",Erreur linguistique / structurelle
بو بااخ بو يەەسو بورووم بي.,bu baax bu Yeesu Boroom bi.,bu baax bu Yeesu boroom bi.,Casse uniquement
واايە بي نو ڠەلاو لي سونالەە بو,Waaye bi nu ngelaw li sonalee bu,Waaye bi nu ngelaw li sunalee bu,Erreur linguistique / structurelle
وايوومماتو,waywommatu,wayoommatu,Erreur linguistique / structurelle
