Ajami,Wolof_attendu,Wolof_predit,categorie_detaillee,substitutions,insertions,suppressions,correspondances,confusions
"بێراب بو مو يەللوووول; كيي جاڠ, نا","bérab bu mu yelloowul; kiy jàng, na","bérab bu mu yellooul; kiy jàng, na",Suppression,0,0,1,34,
"كو دوگگال چيگ كامب, واللا دي چي","ko duggal cig kàmb, walla di ci","ku duggal cig kàmb, walla di ci",Substitution,1,0,0,30,o->u
"اك ساا, يي بااي بي دوگال چي","ak saa, yi Baay bi dogal ci","ak saa, yi baay bi dugal ci",Substitution,2,0,0,25,"o->u, B->b"
"فو ڠەەن بوكك. يێەن ڽێپپ سورەلەەن ما, دەفكاتي لو بون يي!”","fu ngeen bokk. Yéen ñépp soreleen ma, defkati lu bon yi!”","fu ngeen bokk. Yéen ñépp sureleen ma, defkati lu bon yi!”",Substitution,1,0,0,56,o->u
چي خام? نداخ دينا ڽێو چي ماگگال گي واللا دێەت?»,ci xam? Ndax dina ñëw ci màggal gi walla déet?»,yi xam? Ndax dina ñëw ci màggal gi wàlla déet?»,Substitution,2,0,0,45,"a->à, c->y"
وي,wi,yuy,Substitution + insertion,2,1,0,0,"i->y, w->u"
يا اك فاريسەن يا لااج لەەن نە: «لو تاخ ينديوولەەن كو?»,ya ak Farisen ya laaj leen ne: «Lu tax indiwuleen ko?»,ya ak Farisen ya laaj leen ne: «Lu tax yidooleen ko?»,Substitution + suppression,4,0,1,49,"u->o, w->o, n->i, i->y"
يوم,yum,yom,Substitution,1,0,0,2,u->o
تێەرەب,téereb,éeereb,Substitution,2,0,0,4,"é->e, t->é"
"اك سەەن مورووم, با راو ڽي بوكك چي لەەرو ياللا.»","ak seen moroom, ba raw ñi bokk ci leeru Yàlla.»","yak seen moroom, ba raw ñi bokk ci leeru Yàlla.»",Insertion,0,1,0,47,
كو نەكك چي جورۆوم-ڽاار ڽي ماس نا كوو تاكك?»,ku nekk ci juróom-ñaar ñi mas na koo takk?»,yu nekk ci juróom-ñaar ñi mas na koo takk?»,Substitution,1,0,0,42,k->y
"واايە بو فەككەە نە ندوگالو ياللا لا,","Waaye bu fekkee ne ndogalu Yàlla la,","Waaye bu fekkee ne ndugalu Yàlla la,",Substitution,1,0,0,35,o->u
دوون ووتتو الالو ەرودد; اك سوسانن اك,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak,Substitution,4,0,0,32,"à->a, u->o, S->s, o->u"
"فەەباروون, باي بێگگ ا دەە.","feebaroon, bay bëgg a dee.","feebaruon, bay bëgg a dee.",Substitution,1,0,0,25,o->u
"نە دوڽو دەە, تە گيسوڽو دوومو نيت كي ڽێو چي ڠوورام.»","ne duñu dee, te gisuñu Doomu nit ki ñëw ci nguuram.»","ne duñu dee, te gisuñu doomu nit ki ñëw ci nguurci nguuram.»",Substitution + insertion,1,8,0,51,D->d
"چيب يونەنت, بي مو ناان:«ووو ناا ساما دووم, مو گێنن ميسرا.»","cib yonent, bi mu naan:«Woo naa sama doom, mu génn Misra.»","yib yonent, bi mu naan:«Oow naa sama doom, mu génn misra.»",Substitution,4,0,0,54,"M->m, o->w, W->O, c->y"
"دالدي جيب. ڽەنن چا خوتباكات, يا بوكك","daldi jib. Ñenn ca xutbakat, ya bokk","daldi jib. Ñenn ca xotbakat, ya bokk",Substitution,1,0,0,35,u->o
جومبااتە,jombaate,jumbaate,Substitution,1,0,0,7,o->u
يێەخالال,yéexalal,ééealal,Substitution + suppression,1,0,1,6,y->é
"چي كاو لوولو ڽو دالدي ڽاان يەەسو, مو سورە سەەن رێەو.","Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.","ci kaw loolu ñu daldi ñaan yeesu, mu sure seen.réew.",Substitution,4,0,0,48," ->., o->u, Y->y, C->c"
تە ڽاانال ڽي لەەن دي سونال.,te ñaanal ñi leen di sonal.,te ñaanal ñi leen di sunal.,Substitution,1,0,0,26,o->u
"«ديڠەەن توروخ, يێەن واا كوراسين اك واا","«Dingeen torox, yéen waa Korasin ak waa","«Dingeen torox, yéen waa Kurasin ak waa",Substitution,1,0,0,38,o->u
"توول يا, سێف كو بانت, با ڽوي","tool ya, sëf ko bant, ba ñuy","tool ya, sëf ku bant, ba ñuy",Substitution,1,0,0,27,o->u
نجوب,njub,jjub,Substitution,1,0,0,3,n->j
"بو تااليبە يەمەە اك كيليفاام دەمين, دوي","Bu taalibe yemee ak kilifaam demin, doy","Bu taalibe yemee ak kilifaam demin, duy",Substitution,1,0,0,38,o->u
لەەن كو دەفال; نداختە لوولو موو ێمب,leen ko defal; ndaxte loolu moo ëmb,leen ku defal; ndaxte loolu moo ëmb,Substitution,1,0,0,34,o->u
"كون نانو باييەە تەگانتە تووڽ, واايە نو","Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu",Substitution,3,0,0,35,"o->u, o->u, K->k"
چا گاننااو ێللێگ سا ڽو فەكك كو,Ca gannaaw ëllëg sa ñu fekk ko,ca gannaaw ëllëg sa ñu fekk ku,Substitution,2,0,0,28,"o->u, C->c"
لي ما يندي چي كورەەلو اتتەكات ييي,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy,Substitution,3,0,0,30,"i->y, u->o, L->l"
"بو فێگگەە بونت با, ڽو وببيل كو چا ساا سا.","bu fëggee bunt ba, ñu ubbil ko ca saa sa.","bu féggee bunt ba, ñu bbbil ko ca saa sa.",Substitution,2,0,0,39,"u->b, ë->é"
"ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات.","nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat.",Substitution,3,0,0,48,"u->o, o->u, n->y"
"سەەن بااي بي چي كاو باال لەەن سەەني تووڽ, يێەن يتام.»","seen Baay bi ci kaw baal leen seeni tooñ, yéen itam.»","Yeen baay bi ci kaw baal leen seeni tooñ, yéen itam.»",Substitution,2,0,0,51,"B->b, s->Y"
ا تووتي چي جيوو يێپپ;,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;,Substitution,2,0,0,19,"u->o, u->o"
"رێب ميي, نداختە امول دارا لو كو وارال.»","rëb mii, ndaxte amul dara lu ko waral.»","rëb miy, ndaxte amul dara lu ko waral.»",Substitution,1,0,0,38,i->y
"نەكك لەەرو ڽي دول ياووت,ڠير ڠا يۆببو","nekk leeru ñi dul Yawut,ngir nga yóbbu","Eekk leeru ñi dul Yawut,ngir nga yóbbu",Substitution,1,0,0,37,n->E
"ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte",Substitution,4,0,0,38,"Y->y, u->o, u->o, Y->y"
انا بورووم خام-خام بي? انا كااڠ مي?,Ana boroom xam-xam bi? Ana kaaŋ mi?,ana boroom xam-xam bi? Ana kaaŋŋ mi?,Substitution + insertion,1,1,0,34,A->a
يەەسو يتام سوگ ا دەم تە كەنن يێگو كو; سييوالول دەمام.,Yeesu itam sog a dem te kenn yégu ko; siiwalul demam.,Yeesu itam sug a dem te kenn yégu ko; Siiwalul demam.,Substitution,2,0,0,51,"s->S, o->u"
"كو: ‘بااي, تووڽ ناا ياللا, تووڽ ناا لا;","ko: ‘Baay, tooñ naa Yàlla, tooñ naa la;","ko: «Baay, tooñ naa yàlla, tooñ naa la;",Substitution,2,0,0,37,"Y->y, ‘->«"
"دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول.","daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul.",Substitution,5,0,0,42,"o->u, u->o, P->p, a->à, d->Y"
سورگا بو بااخ ڠا تە تاككو. گاننااو,surga bu baax nga te takku. Gannaaw,sorga bu baax nga te takku. Gannaaw,Substitution,1,0,0,34,u->o
جورتوون,jortoon,jurtoon,Substitution,1,0,0,6,o->u
هوود,huud,huuu,Substitution,1,0,0,3,d->u
او ييو; مو ڠي اك ياو.»,aw yiw; mu ngi ak yaw.»,waw yiw; mu ngi ak yaw.»,Insertion,0,1,0,23,
نەككلەەن,nekkleen,ekkleen,Suppression,0,0,1,7,
مبير يو گێن ا رێي ييي.»,mbir yu gën a réy yii.»,mbir yu gën a réy yiy.»,Substitution,1,0,0,22,i->y
"جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم.","jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom.",Substitution,2,0,0,45,"o->u, o->u"
موساا ناگ دي كو يەەوو چي خام-خامو,Musaa nag di ku yeewu ci xam-xamu,Musaa nag di ko yeewu ci xam-xamu,Substitution,1,0,0,32,u->o
يودە. يووسوفاا ڠا بوككوون چا كورەەلو اتتەكات,Yude. Yuusufaa nga bokkoon ca kureelu àttekat,Yude. Yuusufaa nga bokkoon ca koreelu àttekat,Substitution,1,0,0,44,u->o
فاسوووون,fasuwoon,fasooun,Substitution + suppression,2,0,1,5,"o->u, w->o"
"بوو گێمەە, ديڠا گيس ندامو ياللا?»","boo gëmee, dinga gis ndamu Yàlla?»","yoo gëmee, dinga gis ndamu Yàlla?»",Substitution,1,0,0,33,b->y
يێەمە,yéeme,ééeme,Substitution,1,0,0,4,y->é
يێەن,yéen,ééen,Substitution,1,0,0,3,y->é
بووبا ناگ ڽيي ڽوو اند اك مووم:,Booba nag ñii ñoo ànd ak moom:,booba nag ñiy ñoo and ak moom:,Substitution,3,0,0,27,"à->a, i->y, B->b"
لووسام,loosam,luusam,Substitution,2,0,0,4,"o->u, o->u"
چا ێللێگ سا نو تەەر سيدون; يوليوس,Ca ëllëg sa nu teer Sidon; Yulyus,ca ëllëg sa nu teer sidon; Yuliws,Substitution,4,0,0,29,"u->w, y->i, S->s, C->c"
سونو بيير! ياللا واللوسي نا مبوولووم!»,sunu biir! Yàlla wallusi na mbooloom!»,Yunu biyr! Yàlla wàllusi na mbooloom!»,Substitution,3,0,0,35,"a->à, i->y, s->Y"
"مي اك ساگو, نو دێنك لەەن ليگگێەي بيي.","mi ak sago, nu dénk leen liggéey bii.","mi ak sagu, nu dénk leen liggéey bii.",Substitution,1,0,0,36,o->u
اب,ab,bab,Insertion,0,1,0,2,
نجييتو مبوولوو مو ڽوي واخ ناسارێەن.,njiitu mbooloo mu ñuy wax Nasaréen.,Yàitu mbooloo mu ñuy wax nasaréen.,Substitution + suppression,3,0,1,31,"N->n, i->à, j->Y"
كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.,Keroog la njiiti Yawut ya dogu ci rey Yeesu.,keroog la njiiti yawut ya dugu ci rey Yeesu.,Substitution,3,0,0,41,"o->u, Y->y, K->k"
فاتتەە,fàttee,àttee,Suppression,0,0,1,5,
"اي ليير, ڠير مو تەگ لەەن اي","ay liir, ngir mu teg leen ay","ay liyr, ngir mu teg leen ay",Substitution,1,0,0,27,i->y
«بي ما كو دەفەە كو تودد اناڽاس,«Bi ma ko defee ku tudd Anañas,«Bi ma ko defee ko tudd anañas,Substitution,2,0,0,28,"A->a, u->o"
"ڽو سوممي مبوبب مو خونق مي, سولااتال","ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal",Substitution,3,0,0,32,"o->u, u->o, ñ->Ñ"
نداختە جاڠال نا لەەن اك ساڽ-ساڽ بو سەەني خوتباكات امول.,ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.,Ndaxte jàngal na leen ak sañ-sañ bu seeni xotbakat amul.,Substitution,2,0,0,54,"u->o, n->N"
ناڠا ناڠوو دەم اك مان.,Nanga nangou dem ak man.,nanga nangoo dem ak man.,Substitution,2,0,0,22,"u->o, N->n"
خاراف بي ڠي تاڠ چي جاووو جي,Xaraf bi ngi tàng ci jawwu ji,xaraf bi ngi tàng ci jawuu ji,Substitution,2,0,0,27,"w->u, X->x"
"ما دێگلو, واايە داما كوي واخ, ڠير","ma déglu, waaye dama koy wax, ngir","ma déglu, waaye dama kuy wax, ngir",Substitution,1,0,0,33,o->u
"اند اك ياو چا كاسو, با چي دەە ساخ.»","ànd ak yaw ca kaso, ba ci dee sax.»","yand ak yaw ca kaso, ba ci dee sax.»",Substitution + insertion,1,1,0,34,à->a
نەككوون. فەكك موو سەەتي ووون يەەسو لو جييتو. مو نە لەەن:,nekkoon. Fekk moo seeti woon Yeesu lu jiitu. Mu ne leen:,yekkoon. Fekk moo seeti woon Yeesu. Mu ne leen:,Substitution + suppression,1,0,9,46,n->y
نەەنال,neenal,eenal,Suppression,0,0,1,5,
"تاال بي, نداخ دو لەەن گێن ا وودد?","taal bi, ndax du leen gën a wodd?","taal bi, ndax du leen gën a wudd?",Substitution,1,0,0,32,o->u
"يوونو موساا تێلە ووون ا اتتەە نيت ني كو جوب,","yoonu Musaa tële woon a àttee nit ni ku jub,","yoonu Musaa tële woon a àttee nit ni ko jub,",Substitution,1,0,0,43,u->o
"لي ما واخ, داما كوي واخ, ني","li ma wax, dama koy wax, ni","li ma wax, dama kuy wax, ni",Substitution,1,0,0,26,o->u
واسينەە,wasinee,assinee,Substitution,2,0,0,5,"a->s, w->a"
"نوونو سەيتاانە دالدي سولو يوداا, مي ڽوي","Noonu Seytaane daldi solu Yudaa, mi ñuy","Noonu seytaane daldi solo yudaa, mi ñuy",Substitution,3,0,0,36,"Y->y, u->o, S->s"
مەلوكااني,melokaani,melukaani,Substitution,1,0,0,8,o->u
"گيسەە نە يەەسو راخاسووول, لااتا موي لەكك.","gisee ne Yeesu raxasuwul, laata muy lekk.","gisee ne Yeesu raxasooul, laata muy lekk.",Substitution,2,0,0,39,"w->o, u->o"
بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.,Substitution,3,0,0,47,"u->o, u->o, b->B"
"ڽو گيسەە نيت, كا ساچچ يا دوگالە ووون?»","ñu gisee nit, ka sàcc ya dogale woon?»","ñu gisee nit, ka sàcc ya dugale woon?»",Substitution,1,0,0,37,o->u
وووتەەك,wuuteek,wooteek,Substitution,2,0,0,5,"u->o, u->o"
ندانك,ndank,ddnakk,Substitution + insertion,2,1,0,3,"n->k, n->d"
نو موسال چي مەروم ياللا.,nu musal ci merum Yàlla.,uusal ci merum Yàlla.,Suppression,0,0,3,21,
نەتتاليل,nettalil,eetil,Substitution + suppression,1,0,3,4,t->e
دوون,duun,doon,Substitution,2,0,0,2,"u->o, u->o"
"ما ڽااري ميليوڠ, سەەتال, امە ناا چي يەنەەن ڽاار.”","ma ñaari milyoŋ, seetal, ame naa ci yeneen ñaar.”","ma ñaari milioŋ, seetal, ame naa ci yeneen ñaar.”",Substitution,1,0,0,48,y->i
"واايە لي خام-خامو ياللا دي جور, مووي فيرندەەل نە دێگگ لا.»","Waaye li xam-xamu Yàlla di jur, mooy firndeel ne dëgg la.»","waaye li xam-xamu Yàlla di jur, mooy firndeel la.»",Substitution + suppression,1,0,8,49,W->w
"خوتباكات يا. ديناڽو كو اتتە, تەگ كو","xutbakat ya. Dinañu ko àtte, teg ko","xutbakat ya. Dinañu ko àtte, teg ku",Substitution,1,0,0,34,o->u
لێەگي ناگ يێەنا ڠي ماي ووت ا,Léegi nag yéena ngi may wut a,léeeyi nag yéena ngi may wut a,Substitution + insertion,2,1,0,27,"g->y, L->l"
"ڽێو چي مووم, ناان كو: “اتتە ما اك ساما نوون!”","ñëw ci moom, naan ko: “Àtte ma ak sama noon!”","yëw ci moom, naan ko: “àtte ma ak sama noon!”",Substitution,2,0,0,43,"À->à, ñ->y"
باول بي ام نا اي توول يو باري,Baol bi am na ay tool yu bari,bawl bi am na ay tool yu bari,Substitution,2,0,0,27,"o->w, B->b"
"باات بو ما نە: “سوول, سوول, لو","baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu",Substitution,4,0,0,26,"o->u, o->u, S->s, b->B"
«دەمال سێلمو چي بێتو سيلووە.» سيلووە مي,«Demal sëlmu ci bëtu Silowe.» Silowe mi,«Demal sëlmu ci bëtu Silooe.» Silooe mi,Substitution,2,0,0,37,"w->o, w->o"
"ندەيجوور واخامباانە وو سول مبوبب مو وەەخ, ڽو دالدي تييت.","ndeyjoor waxambaane wu sol mbubb mu weex, ñu daldi tiit.","ndeyjoor waxambaane wu sul mbubb mu weex, ñu daldi tiit.",Substitution,1,0,0,55,o->u
ماا ڠي تودد فاتوو.,Maa ngi tudd Fatou.,maa ngi tudd fàtoo.,Substitution,4,0,0,15,"u->o, a->à, F->f, M->m"
"كو لەەن فيتناال, ڽاانال-لەەن كو ييو, تە باڽ كوو مۆولو.","Ku leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","ko leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.",Substitution,2,0,0,52,"u->o, K->k"
"نداختە لي بورووم بي دوگال چي اددينا,دينا","Ndaxte li Boroom bi dogal ci àddina,dina","Ndaxte li boroom bi dugal ci àddina,dina",Substitution,2,0,0,38,"o->u, B->b"
جوب كێپپ كو كو گێم.,jub képp ku ko gëm.,jub képp ku ku gëm.,Substitution,1,0,0,18,o->u
"نوونو فاريسەن يا لااج لەەن: «مباا ناخوڽو لەەن, يێەن يتام?","Noonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?","woonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?",Substitution,1,0,0,56,N->w
"ميسرا, مو دەف كو كيليفاگ ميسرا اك كێرام گێپپ.","Misra, mu def ko kilifag Misra ak këram gépp.","Yisra, mu def ko kilifag misra ak këram gépp.",Substitution,2,0,0,43,"M->m, M->Y"
"گاننااوسي تەي, اي نيت ڠاي مباال جێمە چي مان.»","gannaawsi tey, ay nit ngay mbaal jëme ci man.»","yannaawsi tey, ay nit ngay mbaal jëme ci man.»",Substitution,1,0,0,45,g->y
"دوگگە فيي, تە امولوو مبوببوم چێەت?” واا جي نە مييگ.","dugge fii, te amuloo mbubbum céet?” Waa ji ne miig.","dugge fii, te amuloo mbubbum céet?” waa ji ne miyg.",Substitution,2,0,0,49,"i->y, W->w"
گاننااو لوولو يەەسو فەەڽو ڽاار چي ڽووم,Gannaaw loolu Yeesu feeñu ñaar ci ñoom,Gannaaw loolu Yeesu feañu ñaar ci ñoom,Substitution,1,0,0,37,e->a
دافا ام كو كو ينديل لەكك?»,dafa am ku ko indil lekk?»,dafa am ku ko yoniid lekk?»,Substitution + insertion,3,1,0,23,"l->d, d->i, i->o"
"جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول.","jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","jóge fa ak yittaalibeem, jall xoru Sedurun, dugg cib tool.",Substitution + insertion,5,1,0,52,"o->u, o->u, u->o, à->a,  ->t"
"فاريسەن يا گێنن ناگ, دالدي گيسە, ڠير فەخەە رەيلو يەەسو.","Farisen ya génn nag, daldi gise, ngir fexee reylu Yeesu.","farisen ya génn nag, daldi gise, ngir fexee reylu.",Substitution + suppression,1,0,6,49,F->f
تەرە,tere,eere,Substitution,1,0,0,3,t->e
بااي بي; لوولو دوي نا نو.»,Baay bi; loolu doy na nu.»,baay bi; loolu duy na nu.»,Substitution,2,0,0,24,"o->u, B->b"
مان لا. بو فەككەە نە ناگ مان,man la. Bu fekkee ne nag man,man la. Bu fekkee negnag man,Substitution,1,0,0,27, ->g
لا وەددي موكك.» تااليبە يێپپ يت واخە نوونو.,la weddi mukk.» Taalibe yépp it waxe noonu.,Ya weddi mukk.» Taalibe yépp it waxe noonu.,Substitution,1,0,0,42,l->Y
في نەككال? نداخ نەككالو في يت ڽو دول ياووت? ااڠكاي!,fi nekkal? Ndax nekkalu fi it ñu dul Yawut? Aaŋkay!,fi nekkal? Ndax nekkalu fi it ñu dul yawut? Aaŋkày,Substitution + suppression,2,0,1,48,"a->à, Y->y"
ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.,Substitution,2,0,0,42,"o->u, o->u"
"يوروون بويەتو خااليس بي, تە داان چي ساكك.","yoroon boyetu xaalis bi, te daan ci sàkk.","yoroon buyetu xaalis bi, te daan ci sàkk.",Substitution,1,0,0,40,o->u
وۆولوووو,wóoluwoo,wóoluwu,Substitution + suppression,1,0,1,6,o->u
نيروولە,niroole,inroole,Substitution,2,0,0,5,"i->n, n->i"
"نوونو يەەسو تاخاو, دالدي نە: «ووولەەن كو!»","Noonu Yeesu taxaw, daldi ne: «Wooleen ko!»","noonu Yeesu taxaw, daldi ne: «Wowleen ko!»",Substitution,2,0,0,40,"o->w, N->n"
نان لاڽو كوي دەللوو چافكاام? املەەن خوروم تە ڠەەن جامموو.»,nan lañu koy delloo cafkaam? Amleen xorom te ngeen jàmmoo.»,yan lañu koy delloo cafkaam? Amleen xorom tà ngeen jàmmoo.»,Substitution,2,0,0,57,"e->à, n->y"
"گارابو وليو گو كێر گي, ياللا دينا لەەن چي دەللوو.","garabu oliw gu kër gi, Yàlla dina leen ci delloo.","yarabu wliw gu kër gi, Yàlla dina leen ci delluo.",Substitution,3,0,0,46,"o->u, o->w, g->y"
"ياو تەيوفيل مو تەدد مي, خام ڠا","Yaw Teyofil mu tedd mi, xam nga","yaw teyufil mu tedd mi, xam nga",Substitution,3,0,0,28,"o->u, T->t, Y->y"
"داگگەەكوو, مان دوما لا باييي موكك.»","dàggeekoo, man duma la bàyyi mukk.»","daggeekuo, man duma la bàyyi mukk.»",Substitution,2,0,0,33,"o->u, à->a"
دوي,doy,duy,Substitution,1,0,0,2,o->u
"«كيليفا يي, لو ما وار ا دەف, با موچچ?»","«Kilifa yi, lu ma war a def, ba mucc?»","yklifa yi, lu ma war a def, ba mucc?»",Substitution + suppression,2,0,1,35,"i->k, K->y"
"چي كێر ياللا گي, با يندي سوبە","ci kër Yàlla gi, ba indi sobe","ci kër Yàlla gi, ba indi sube",Substitution,1,0,0,28,o->u
"ليي مووي ڽاارەەلو فيرندە, بي يەەسو دەف","Lii mooy ñaareelu firnde, bi Yeesu def","liy mooy ñaareelu firnde, bi Yeesu def",Substitution,2,0,0,36,"i->y, L->l"
بايييواات كو في ات ميي. ديناا واقي,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi,Substitution,2,0,0,32,"i->y, o->u"
"فووفا; تە ڽو بارە توپپ كو, مو وێرال لەەن ڽووم ڽێپپ.","foofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.","woofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.",Substitution,1,0,0,50,f->w
اجي كاوە جي دينا لا ييير چي,Aji Kawe ji dina la yiir ci,Aji kawe ji dina la yiyr ci,Substitution,2,0,0,25,"i->y, K->k"
فويتێەف,fuytéef,Foytéef,Substitution,2,0,0,5,"u->o, f->F"
"ڽو دالدي سانني دييگال, ڠير واڽڽي دوخوب","ñu daldi sànni diigal, ngir wàññi doxub","Ñu daldi sànni diigal, ngir waññi doxob",Substitution,3,0,0,36,"u->o, à->a, ñ->Ñ"
"لەەن, كيي گۆور, كيي جيگێەن.","leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen.",Substitution,2,0,0,25,"i->y, i->y"
ندام,ndam,ddàm,Substitution,2,0,0,2,"a->à, n->d"
گيس پوول چا كێر ياللا گا. ڽو,gis Pool ca kër Yàlla ga. Ñu,yis Pool ca kër Yàlla ga. Ñu,Substitution,1,0,0,27,g->y
ندێنكاان,ndénkaan,ddnnaan,Substitution + suppression,2,0,1,5,"k->n, é->d"
يەيوووول ا ليگگێەي چي ڠوورو ياللا.»,yeyoowul a liggéey ci nguuru Yàlla.»,yeyoowula liggéey ci nguuru Yàlla.»,Suppression,0,0,1,35,
لەوپوول,leopool,lewpool,Substitution,1,0,0,6,o->w
پوليتيگ,politig,pulitig,Substitution,1,0,0,6,o->u
اسماان,asmaan,sasmaan,Insertion,0,1,0,6,
"نداختە گاراب, مەڽڽەەفام لاڽو كوي خاممەە. دەەسول","Ndaxte garab, meññeefam lañu koy xàmmee. Deesul","Yànte garab, meññeefam lañu koy xàmmee. Deesul",Substitution + suppression,3,0,1,43,"x->n, a->à, d->Y"
وببەە,ubbee,bubbee,Insertion,0,1,0,5,
"ياو مي ناافێق, باي ساماندااي ميير بو","yaw mi naaféq, bay samandaay miir bu","yaw mi naaféq, bay samandaay miyr bu",Substitution,1,0,0,35,i->y
"وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو.","war na sonn lu bare, ñu xeeb ko, dëddu ko.","war na sunn lu bare, ñu xeeb ko, dëddu ko.",Substitution,1,0,0,41,o->u
گاننااو ياللا باالول چار يا چوساانوو چا,Gannaaw Yàlla baalul car ya cosaanoo ca,Gannaaw Yàlla baalul car ya cosaanuo ca,Substitution,1,0,0,38,o->u
تووبوون,tuuboon,tuubuon,Substitution,1,0,0,6,o->u
ندابي,ndabi,ddàbi,Substitution,2,0,0,3,"a->à, n->d"
"مو سەەدەە كو نيي: “گيس ناا دااوودا,","mu seedee ko nii: “Gis naa Daawuda,","mu seedee ku nii: “Gis naa daawuda,",Substitution,2,0,0,33,"D->d, o->u"
كوو لەكك چێب امنا وێرسێگ.,Kou lekk cëb amna wërsëg.,koo lekk cëb amna wërsëg.,Substitution,2,0,0,23,"u->o, K->k"
"""بو ما يەەووو, داماي وێر.""","""Bu ma yeewoo, damay wér.""","""Bu ma yeewu, damay wér.""",Substitution + suppression,1,0,1,24,o->u
يسراييل داڽوو خامول? ااڠكاي! موساا دافا جێككوون,Israyil dañoo xamul? Aaŋkay! Musaa dafa jëkkoon,Ysrayil dañoo xamul? Aangàk! Musaa dafa jëkkoon,Substitution,5,0,0,42,"y->k, a->à, k->g, ŋ->n, I->Y"
"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu",Substitution,3,0,0,26,"u->o, u->o, u->o"
تێيە,téye,ëéye,Substitution,1,0,0,3,t->ë
"جۆگلەەن نو دەم; كي ماي وور ا ڠي نيي, دي ڽێو.»","Jógleen nu dem; ki may wor a ngi nii, di ñëw.»","jógleen nu dem; ki may wur a ngi nii, di ñëw.»",Substitution,2,0,0,44,"o->u, J->j"
ێللێگ; نو ڠي نە سەەو ياللا بوولە,ëllëg; nu ngi ne seew Yàlla boole,yëllëg; nu ngi ne seew Yàlla boole,Insertion,0,1,0,33,
"نيير كو, دێگگ بااتو بورووم بي نە كو:","niir ko, dégg baatu Boroom bi ne ko:","niir ku, dégg baatu boroom bi ne ko:",Substitution,2,0,0,34,"B->b, o->u"
"باككاارام ا كو وارال, واللا بو وااجورام?»","bàkkaaram a ko waral, walla bu waajuram?»","bàkkaaram a ku waral, walla bu waajuram?»",Substitution,1,0,0,40,o->u
"اك اي جاڠورو يو وووتە, تە داق","ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq",Substitution,2,0,0,28,"u->o, u->o"
يێوويكوو,yéwwikoo,yéwuyoo,Substitution + suppression,2,0,1,5,"k->y, i->u"
"چي مبارام. نداخ واروماا ناان كااسو ناقار,","ci mbaram. Ndax warumaa naan kaasu naqar,",ci mbaram. Ndax warumaa naan kaasu naqarararararararara,Substitution + insertion,1,14,0,40,",->a"
نوونو ناڠوووڽوو ييوي ياسون اك ڽي چي,Noonu nanguwuñoo yiwi Yason ak ñi ci,Noonu nanguwuñuoy Yiwi Yasun ak ñi ci,Substitution + insertion,3,1,0,33,"o->u, y->Y, o->y"
